name,postcode,lat,lon
The Goat Inn,LL51 9LJ,52.96994781494140,-4.25966215133667
Cadwaladers,LL52 0DP,52.91718292236330,-4.23227882385254
no46 coffee shop,LL52 0EY,52.9195,-4.2336
prince of wales,LL52 0HB,52.9198,-4.2314
Swn Y Mor (Criccieth) Limited,LL52 0HL,52.91841506958010,-4.23081016540527
Dylan's Criccieth,LL52 0HU,52.91981506347660,-4.22384595870972
The Caerwylan,LL52 0HW,52.91926193237300,-4.22987222671509
Caffi Cedron Eisteddfa Fishery,LL52 0PT,52.93320846557620,-4.19841718673706
Castle Inn,LL52 0RW,52.91859436035160,-4.23748397827148
Gimblet Rock,LL53 5AY,52.88236236572270,-4.40400505065918
Bamboo House,LL53 5DE,52.88889694213870,-4.41743278503418
The Cove,LL53 5DU,52.8899,-4.4194
PEN Y COB / WETHERSPOONS,LL53 5HG,52.88771710000000,-4.41748660000000
COSTA COFFEE,LL53 5HT,52.88958280000000,-4.41461720000000
Whitehall,LL53 5RG,52.88906097412110,-4.41860198974609
The Jewel In The Crown ,LL53 5RT,52.88991546630860,-4.41585493087769
Plas Bodegroes Restaurant,LL53 5TH,52.89006170000000,-4.44786990000000
Plas Heli bar Ltd trading as Glandon Beach Bar,LL53 5YT,52.8897,-4.4034
Y Bryncynan,LL53 6AA,52.9248,-4.5347
Bombay Joes Restaurant ,LL53 6DU,52.93559646606450,-4.52083206176758
Ty Coffi Insomnia,LL53 6HD,52.9343,-4.5206
BURGER KING-HAFAN Y MOR,LL53 6HX,52.90602874755860,-4.33412504196167
STARBUCKS-HAFAN Y MOR,LL53 6HX,52.90602874755860,-4.33412504196167
WOODLANDS HALL HOTEL,LL53 6JB,52.92518234252930,-4.56050300598145
Caffi Meinir,LL53 6NL,52.96094894409180,-4.44962501525879
Glasfryn Parc Ltd,LL53 6PG,52.94926071166990,-4.39142799377441
The Warren,LL53 7AA,52.8400,-4.4955
Zinc Cafe Bar & Grill,LL53 7AW,52.82478810000000,-4.50446460000000
Fresh Bar and Grill,LL53 7DS,52.82351303100590,-4.50525188446045
Oriel Plas Glyn y Weddw,LL53 7TT,52.85435870000000,-4.48321750000000
Twnti Seafood Restaurant ,LL53 7YH,52.88574981689450,-4.48574113845825
ship edern ltd,LL53 8YP,52.92773310000000,-4.56506460000000
