name,postcode,lat,lon
Mamo and Myna,CH7 6SJ,53.173504937533200,-3.111329731099320
Zebra and Treepie,CH7 6JZ,53.200616988780800,-3.095787972720860
Grosbeak and Kākāriki,CH48 3JB,53.363858321173700,-3.179049857513080
Tahr and Wallaby,CH43 6TN,53.389138616392800,-3.059905618060370
Grackle and Siskin,LL19 7SS,53.335868185923300,-3.417548904222850
Lemming and Kestrel,CH6 5NX,53.250749490491400,-3.132411019111200
Guillemot and Snipe,CH46 9PA,53.404497000000000,-3.098209000000000
Tattler and Argus,CH49 3PJ,53.378758563852000,-3.119704803875410
Puffleg and Bronzewing pigeon,CH44 4SR,53.416077823059300,-3.022900010607660
Tattler and Rabbit,CH44 5XW,53.418945424968800,-3.043658673072250
Civet and Ground sloth,CH43 9RZ,53.383868002937200,-3.081289503475670
Kite and Chipmunk,CH43 5RG,53.383663355083300,-3.038540565544790
Wader and Grouse,CH45 4SB,53.422841755839200,-3.052407031177430
Elephant and Old World warbler,LL18 6AP,53.299793867840700,-3.413727628400110
Minke whale and Fish eagle,LL17 0PN,53.257394000000000,-3.451650000000000
Duck and Fox,CH43 9XB,53.389658544664200,-3.085075213279730
Pheasant and Viscacha,CH60 3RA,53.315576370192700,-3.083316000000000
Shearwater and Argus,CH5 1AD,53.210362658423100,-3.036380289378320
Lemming and Chicken,CH7 1SE,53.169455206851000,-3.151541827057320
Vulture and Tahr,CH63 8QJ,53.356391148463800,-3.027059166816080
Towhee and American sparrow,CH5 1DJ,53.212285821550000,-3.037474938191640
Petrel and Songlark,CH60 0AF,53.327700711910800,-3.098396980178280
Petrel and Francolin,CH44 2DG,53.420865082530800,-3.062455314817950
Dolphin and Wader,CH49 5PG,53.368046000000000,-3.096345217062230
Thicketbird and Elephant,CH44 7HJ,53.411576297726500,-3.027907109556830
Ice seal and Marmoset,CH63 5QD,53.364922617789000,-3.031126615677280
Coati and Shearwater,CH45 8PJ,53.419062000000000,-3.066142000000000
Tattler and Masked owl,CH27 9GA,53.421751000000000,-3.043515000000000
Old World vulture and Guillemot,CH41 3PJ,53.395370583578500,-3.022946000000000
Cuscus and Gull,CH45 4JG,53.421061000000000,-3.044481210282570
Siskin and Mockingbird,LL19 8LL,53.318519957456600,-3.412124775386120
Capuchin and Thrasher,CH63 8LB,53.355799949934000,-3.023679376500100
Jerboa and Old World vulture,LL16 3LG,53.183061242860900,-3.423038966012000
Viscacha and Bunting,CH44 7AJ,53.409048580264900,-3.023934804832740
Dolphin and Scimitar babbler,CH5 4RR,53.211921564795700,-3.076504726101410
Elephant and Francolin,CH43 7SL,53.401353132255000,-3.063112146140350
Myna and Cuscus,CH7 1XR,53.173745853273600,-3.148469979052500
Rat and Puffleg,CH61 9PN,53.350384781131900,-3.093992534243610
Treepie and Chipmunk,CH44 5RG,53.416653452649000,-3.048763435880800
Piping shrike and Civet,CH27 9ZX,53.415697271202700,-3.023251979394600
Hawaiian honeycreeper and Minke whale,CH5 4LE,53.209879776386400,-3.061614466178240
Songlark and Cuscus,CH5 3TH,53.183141350021300,-3.058050752232390
Old World warbler and Wallaby,CH60 9LG,53.321372651657300,-3.106146216650130
Parrotlet and Nukupuʻu,LL18 4RU,53.316115662719700,-3.473397829789740
Chickadee and Linsang,CH64 6SL,53.295890822556300,-3.083356746166070
Booted eagles and Pheasant,CH48 4EL,53.372258658330100,-3.179507362438170
Polecat and Black jay,CH43 7XN,53.390471157765000,-3.071742887418850
Wader and Triller,CH42 7LQ,53.375335182054700,-3.027620240217950
Puffleg and Fox,LL19 7YQ,53.333246922300400,-3.429295825645680
Peafowl and Bunting,CH7 3BT,53.164466000000000,-3.069707000000000
Polecat and Piping shrike,CH61 1BQ,53.352340305835900,-3.088543926746840
Civet and Argus,CH42 0NP,53.383660036300000,-3.024362767961960
Macaw and Nukupuʻu,LL19 8DW,53.326156510647600,-3.418563214326010
Kite and Ibex,CH43 2HA,53.381114000000000,-3.047517780243000
Cuscus and Tahr,CH64 9UZ,53.291163391617000,-3.062278961701390
Chipmunk and Songlark,CH49 4NQ,53.390755126775600,-3.108561277179600
Peafowl and Tree warbler,CH46 1RA,53.411828666439400,-3.097509847321540
Dolphin and Mink,LL16 3DJ,53.190723521329100,-3.406888132747520
Condor and Ice seal,CH7 6DY,53.189686672678400,-3.129394155670480
Polecat and Stint,CH48 9YA,53.376331515359000,-3.155538169691140
Linsang and Solitaire,CH7 6JY,53.201144067171900,-3.096145749253940
