name,postcode,lat,lon
Siskin and Parrotlet,G77 6GR,55.782789654361700,-4.347000083812530
Kākāriki and Polecat,G31 4QP,55.843171000000000,-4.199963000000000
Thrasher and American sparrow,G43 2DU,55.822083000000000,-4.284644000000000
Guillemot and Scimitar babbler,G72 8LR,55.808425515675400,-4.180029516417510
Prion and Argus,G53 7XA,55.809377622088200,-4.339439012955410
Tree warbler and Greenbul,G53 6QT,55.818204750292900,-4.345508258380390
Zebra and Jackal,G46 7BW,55.806073213847600,-4.309334539865400
Pheasant and Chicken,G73 5AY,55.816001859392800,-4.189949000000000
Tahr and Skunk,G43 2JA,55.820713522717200,-4.286766458313760
Macaw and Diving bird,G77 6UF,55.781406000000000,-4.329822000000000
Kākāriki and Crow,G73 5EB,55.815360338541100,-4.197384712748420
Wader and Zebra,G72 8AJ,55.809737368163200,-4.169378179287840
Songlark and Cuscus,G77 5HU,55.772465702870000,-4.314024000000000
Hawaiian honeycreeper and Skunk,G73 5ET,55.809104812185800,-4.190855891996430
Masked owl and Marmoset,G46 8BY,55.807141858185900,-4.327862923779820
Wallaby and Diving bird,G46 7QJ,55.805839000000000,-4.299299000000000
Kestrel and Petrel,G43 2TW,55.815364324030200,-4.286851636325100
Gull and Scimitar babbler,G76 8LN,55.793940280173900,-4.270726890216960
Cloud rat and Egret,G53 5AH,55.825208527893500,-4.351502191266860
Hawk and Snipe,G74 5BX,55.774566140602100,-4.219404012387780
Stilt and Prion,G44 3JR,55.809599976025700,-4.269085439297010
Kākāriki and Linsang,G75 0TY,55.751875275831500,-4.164363385409380
Cuscus and Puffleg,G44 5DX,55.811760731029600,-4.248829617679180
Mole and American sparrow,G77 5TQ,55.773357275057800,-4.305549025964090
Dolphin and Parrotbill,G73 5EX,55.808998544178800,-4.191775549688390
Myna and Francolin,G72 7LU,55.819586134053800,-4.154633524192240
Grackle and Piping shrike,G74 5AW,55.761545000000000,-4.250926000000000
Tattler and Tattler,G43 2XG,55.817109087602200,-4.291615172398730
Grosbeak and Civet,G42 0JG,55.829718552964800,-4.234489230092610
Jackal and Petrel,G73 1DN,55.829406133733800,-4.210503910236810
Macaw and Fulmarine petrel,G72 7TP,55.821490759656300,-4.121597479299630
Buzzard and Gull,G42 8YU,55.835965781196600,-4.265383111299360
Partridge and Marsh harrier,G43 2XE,55.814547000000000,-4.295982000000000
Mink and Condor,G77 6JD,55.784194604865300,-4.325201129724270
Warbler and Masked owl,G42 8PU,55.836752056802200,-4.268559130313100
Linsang and Thrasher,G72 9LQ,55.797246709912100,-4.100463613271570
Buzzard and Magpie,G77 5HY,55.771807000000000,-4.315853000000000
Goose and Stilt,G75 8RE,55.751530737426300,-4.209458058157250
