name,postcode,lat,lon
Solitaire and Booted eagles,KW14 7QU,58.586187984426900,-3.538056844972300
Triller and Grosbeak,KW14 8RD,58.587774505691500,-3.519461350676810
Mamo and Boto,KW3 6AD,58.310207000000000,-3.285672757114540
Marmoset and Mamo,KW14 7AD,58.592100479944900,-3.523554499603090
Parrotlet and Kestrel,KW14 8BJ,58.596059022542700,-3.521506976698420
Wader and Mink,KW14 7LL,58.596135040216400,-3.530991326829470
Cloud rat and Flameback,KW1 4TP,58.534427344039500,-3.275189830515970
Partridge and Masked owl,KW14 8BY,58.594786655679300,-3.517442645228290
American sparrow and Linsang,KW14 7LJ,58.596418957022800,-3.528267801520270
Tahr and Fox,KW14 8SX,58.590557000000000,-3.316869000000000
Old World vulture and Buzzard,KW5 6DU,58.288821334195200,-3.409998110954020
Coati and Marsh harrier,KW3 6BT,58.301851290707000,-3.304570556148910
Bunting and Boto,KW12 6ZA,58.517891465587200,-3.501106596520360
Triller and Treepie,KW14 7QR,58.548573693983400,-3.607394388321470
Moluccan boobook and Buzzard,KW14 7AL,58.593324484990100,-3.521835555279570
Dolphin and Minke whale,KW14 8QE,58.585599766431400,-3.524854426006820
Bronzewing pigeon and Perching duck,KW14 7DE,58.592753213496800,-3.525320623148880
Stilt and Maya,KW5 6DG,58.287413404595000,-3.346627000000000
Francolin and Ground sloth,KW14 7NA,58.592263872467400,-3.533230866115920
Kestrel and Treepie,KW14 7PE,58.596229123502400,-3.536656561037020
Marsh harrier and Jay,KW14 7BG,58.594200249074800,-3.522974785589950
Gull and Guillemot,KW14 8UE,58.591948230146000,-3.387063181134830
Cuscus and Maya,KW5 6DR,58.273276451712600,-3.380003649934170
Nukupuʻu and Old World warbler,KW12 6YD,58.512812574526600,-3.489869043317470
Maya and Greenbul,KW14 7RP,58.570297326282200,-3.722856157683530
Lemming and Zebra,KW14 7NR,58.596955120797100,-3.533780356673990
Linsang and Siskin,KW3 6AF,58.301631435916200,-3.286373311734340
Parrotbill and Masked owl,KW14 8HP,58.599871480742900,-3.506683752862460
Buzzard and Boto,KW14 7XR,58.597284837802000,-3.530232827549740
Francolin and Grosbeak,KW14 8NH,58.591150088212200,-3.512760354105830
Piping shrike and Grosbeak,KW3 6AG,58.301404000000000,-3.285700000000000
Ground sloth and Shearwater,KW14 8AB,58.594861266063000,-3.519669000000000
Vole and White ibis,KW14 7HF,58.595738096817800,-3.522817958688410
Ibex and Coati,KW3 6BQ,58.301924428092200,-3.285820865038010
Marsh harrier and Egret,KW14 8UF,58.593733000000000,-3.389732000000000
Philippine hawk-owl and Myna,KW12 6XN,58.515566420931700,-3.489419276177070
Wallaby and Greenbul,KW12 6XF,58.521795000000000,-3.497645534294050
Dolphin and B,KW14 7LE,58.582919229391800,-3.533475653075250
Partridge and Parakeet,KW14 7HL,58.594836258375900,-3.524637038633280
Herring gull and Kestrel,KW14 7LP,58.594638345238400,-3.532216384093690
Flameback and Thicketbird,KW14 7JN,58.596116386910500,-3.527273802697700
Lemming and Shearwater,KW14 7ET,58.586660374598300,-3.535359604882120
Duck and Marsh harrier,KW14 7EW,58.589963611942000,-3.539306436797250
Booted eagles and Coati,KW14 8YT,58.598894000000000,-3.455052000000000
Quetzal and Condor,KW14 8AL,58.595590469045700,-3.519352994663700
Viscacha and Treepie,KW14 7DG,58.592095383129000,-3.526255462174730
Coati and Logrunners,KW14 7NN,58.592127816840800,-3.532588325263760
Minke whale and Kākāriki,KW14 7NY,58.594974219001400,-3.534932486402320
Crow and Diving bird,KW14 7QS,58.582557344512600,-3.535336000000000
Fish eagle and Siskin,KW14 8AW,58.596048945933300,-3.519321260112400
Tattler and Puffleg,KW14 7DL,58.590101481040700,-3.527751374014570
Chickadee and Flameback,KW14 7LW,58.595306835149300,-3.531144401954380
Francolin and Polecat,KW14 7QZ,58.552588821932300,-3.688355000000000
Pratincole and Old World vulture,KW14 7HS,58.591885991255600,-3.528758255746470
Ice seal and Condor,KW12 6UZ,58.508937000000000,-3.418852000000000
Armadillo and Warbler,KW1 4TS,58.544436840157200,-3.307887798540370
Thrasher and Polecat,KW14 8RB,58.588210584294600,-3.520564054273210
