name,postcode,lat,lon
Myna and Grouse,LE67 4HQ,52.720475432578500,-1.334130471917600
Wader and Booted eagles,LE4 4FR,52.683846547854400,-1.116077742164630
Coati and Eagle,NG12 5RF,52.840896000000000,-1.104831000000000
Minke whale and Cloud rat,LE67 2BB,52.713809614509100,-1.374614354935430
New World blackbird and Tit-tyrant,LE11 2QQ,52.749940865634100,-1.211870493318490
Cuscus and Flameback,LE67 9QU,52.681186376351500,-1.269377066456860
Piping shrike and Wallaby,LE11 5HA,52.781097786923600,-1.249069403457740
Dorcopsis and Fulmarine petrel,LE7 4UY,52.715059764161400,-1.105321469253650
Linsang and Rat,LE12 8QX,52.720793964157100,-1.217000329846000
Scimitar babbler and Duck,LE67 4HN,52.719755151906200,-1.332335230628680
Quetzal and Scimitar babbler,LE4 8LN,52.673644160360700,-1.085536000000000
Cloud rat and Magpie,LE12 8PH,52.753858289590400,-1.150340281092000
Mamo and Stilt,LE67 3PS,52.721624692327600,-1.371778392634760
Tit-tyrant and Moluccan boobook,LE67 5EA,52.736246576878500,-1.355869117943990
Snipe and Solitaire,LE11 3HF,52.768731579050000,-1.208299000000000
Macaw and Chicken,LE12 8LA,52.746537425272300,-1.139920114265810
Old World quail and Thrasher,LE67 2AE,52.721732142395800,-1.404822944824000
Rabbit and Bronzewing pigeon,LE11 2HW,52.760644438471400,-1.207335392177200
Hawaiian honeycreeper and Jerboa,LE12 7RQ,52.722932735197000,-1.106226449967150
Chickadee and Mole,LE11 5BJ,52.772470958847400,-1.208084150218850
Tattler and Armadillo,LE67 4BU,52.717812405937500,-1.351610481856560
Solitaire and Ice seal,LE7 7BS,52.673548497023500,-1.185737081238280
Guillemot and Mole,LE67 9RB,52.681512822897700,-1.263840000000000
Cuscus and Jay,LE67 2NS,52.726775982053100,-1.394285540963940
American sparrow and Pitohui,LE11 3PR,52.758836154566500,-1.227580402030130
Nukupuʻu and Cuscus,LE7 7EA,52.676309161216000,-1.185848460300790
Asiatic leopard and Puffleg,LE12 7TN,52.734686707390400,-1.106785880187150
Philippine hawk-owl and American sparrow,LE12 9GQ,52.760374504993400,-1.286102454685520
Peafowl and Snipe,LE67 9TL,52.686262772436500,-1.310951365224610
Vole and Flameback,LE67 5GE,52.738154750334300,-1.346435893300620
Scimitar babbler and Condor,LE67 1ER,52.694967000000000,-1.364171000000000
Dorcopsis and B,LE67 9XB,52.681765343299200,-1.276778437839910
Rabbit and Pitohui,LE7 7BQ,52.676893117400200,-1.180572150622660
Philippine hawk-owl and Hawaiian honeycreeper,NG11 0LF,52.860224189241100,-1.218340612172370
Dorcopsis and Puffleg,LE67 1BJ,52.672104018932400,-1.342542000000000
Capuchin and Grosbeak,LE67 4DX,52.726275805831100,-1.344170260680830
Philippine hawk-owl and Masked owl,LE4 8LW,52.673216254338500,-1.082394824838600
Mink and Parrotlet,LE11 9SA,52.768584435128700,-1.204953174179260
Warbler and Flameback,LE11 3TH,52.766059631108600,-1.235248342431040
Thicketbird and Black cockatoo,NG11 6RD,52.860838000000000,-1.137977078109030
Parrotbill and Greenbul,LE11 4PS,52.765081000000000,-1.250784945208620
Diving bird and Kākāriki,LE4 3GN,52.684594696985000,-1.133978000000000
Diving bird and Philippine hawk-owl,LE12 7UB,52.723546000000000,-1.135287000000000
