name,postcode,lat,lon
Moluccan boobook and Polecat,PO33 3NU,50.727557902111600,-1.180878412209350
Civet and Grosbeak,SO45 1WH,50.815869791430600,-1.369603374942210
Pratincole and Black jay,SO45 1XP,50.807278583445800,-1.370669833994240
Tree warbler and Chickadee,PO31 7JQ,50.759572693919000,-1.302703199869580
Skunk and Thrasher,SO45 1RB,50.820668495212500,-1.365776000000000
Buzzard and Vulture,PO31 7GA,50.752032000000000,-1.314103000000000
Argus and Triller,PO31 7BG,50.760738093181800,-1.297595917917550
Nukupuʻu and Shearwater,PO32 6AX,50.756203210017500,-1.278028872763020
Boto and Goose,PO13 9LD,50.801852781183400,-1.202613000000000
Wallaby and Chipmunk,PO31 8DN,50.765009022772400,-1.312590597676160
Dorcopsis and Capuchin,PO31 7QU,50.766015759998100,-1.301912658571190
Grosbeak and Kākāriki,PO14 3NZ,50.833116181947400,-1.213752170259060
Darwin's finches and Cuscus,SO45 1AZ,50.802809000000000,-1.399466000000000
Grouse and Jay,PO30 2FX,50.699780000000000,-1.276049000000000
Ground sloth and Coati,PO30 2EQ,50.701680000000000,-1.289503430685490
Duck and Rat,PO30 5HP,50.706567666773000,-1.300940291703540
Solitaire and Myna,PO13 0PG,50.825065498614400,-1.179457860044040
Scimitar babbler and Magpie,PO31 7LZ,50.759475705965000,-1.304533577213380
Hawk and Ice seal,PO14 3HQ,50.827123980890700,-1.225396044164580
Ibex and Black jay,PO30 1TB,50.698476415089900,-1.298327773943330
Kite and Ibex,PO14 2RR,50.822142533271400,-1.213368547312280
Wallaby and Lemming,PO16 0SS,50.838498000000000,-1.180119967762780
Grackle and Rat,SO45 2NZ,50.833351300532800,-1.383042743903210
Magpie and Armadillo,PO13 8HZ,50.803595082734700,-1.195557743877220
Badger and Grouse,PO32 6EE,50.753391852790100,-1.285883070267910
Jackal and Jackal,PO14 2EQ,50.832406506438100,-1.212528694126480
Nukupuʻu and Macaw,PO31 8DZ,50.756410000000000,-1.321265000000000
Crow and Macaw,PO14 4HG,50.832675366804800,-1.246448009832960
Darwin's finches and Grouse,PO30 2QH,50.694146281566300,-1.287193294007330
Warbler and Fulmarine petrel,PO31 8JD,50.751693358183800,-1.322254761272770
Wader and Old World vulture,PO13 8LP,50.806423539422100,-1.194941502864020
Songlark and Stilt,PO30 5EB,50.698478825955100,-1.301725995091870
Badger and Chipmunk,PO30 2LN,50.704850942759700,-1.280389397566730
Eagle and Vulture,PO41 0XW,50.703904584377300,-1.450208462483240
Booted eagles and Warbler,PO30 5RZ,50.709170895639300,-1.304668850225510
Grouse and Goose,PO30 5JU,50.692982067181400,-1.316545786905620
Black jay and Bronzewing pigeon,PO31 8EE,50.760013828110300,-1.322630858286080
Chickadee and Minke whale,PO41 0XS,50.712502436632000,-1.448464972357520
Parakeet and Treepie,PO31 7US,50.752171000000000,-1.308427000000000
Rabbit and Snipe,PO14 3LS,50.815224061694400,-1.226359354249370
River dolphin and Marsh harrier,PO13 9GE,50.808416000000000,-1.204831000000000
Cloud rat and Condor,PO30 3DF,50.662215942976000,-1.254653986349220
Pheasant and Lemming,PO30 3JG,50.647669000000000,-1.356128000000000
Elephant and Francolin,PO30 9BQ,50.706999000000000,-1.294717000000000
Chicken and Jackal,PO38 3HW,50.635325000000000,-1.255588000000000
Kangaroo and Dorcopsis,PO31 7ET,50.752755335828000,-1.304066098661290
Stilt and Tit-tyrant,PO38 3NY,50.648747205944100,-1.282307309305200
Quetzal and Cloud rat,PO14 2SB,50.819815928180700,-1.209745024152480
Pratincole and Hawk,PO30 5QD,50.702536490322000,-1.293084416212800
Mockingbird and Towhee,PO30 1LN,50.695572132905800,-1.295411957837720
Diving bird and Puffleg,PO31 8HW,50.759536764750100,-1.310274689204490
Mink and Vole,PO14 3YH,50.835198348325200,-1.219837737725380
Bronzewing pigeon and Buzzard,PO30 1SS,50.700269699510600,-1.291831000000000
Cuscus and Ground sloth,PO33 3XJ,50.726275414108100,-1.182657582372430
Moluccan boobook and Marsh harrier,PO31 7UF,50.751976281149800,-1.310683445347530
Bronzewing pigeon and Parrotbill,PO31 7TT,50.764071930671000,-1.298680358216080
Nukupuʻu and Magpie,PO30 4PD,50.712177967249300,-1.380257510046640
River dolphin and Marmoset,SO45 2FH,50.827871481497300,-1.392698907079460
Herring gull and Snipe,PO31 7LH,50.757762297540400,-1.305239472087670
Tit-tyrant and Quetzal,PO30 1RQ,50.692535829307900,-1.303442322444330
Logrunners and Tattler,SO45 1WT,50.816616892140300,-1.369735271928890
Cloud rat and Pheasant,PO30 4LL,50.725851000000000,-1.354266318886420
Macaw and Viscacha,PO13 9NX,50.807867841423600,-1.203602505582700
Petrel and Peafowl,PO41 0TH,50.691513357742100,-1.431623224358540
Coati and Argus,PO30 3JF,50.649124104273500,-1.328978616765320
Thrasher and Eagle,PO33 4PG,50.725511996183400,-1.229027285497520
Meadowlark and Piping shrike,PO30 3HY,50.680477770748400,-1.336047527678360
Quetzal and Prion,PO13 9GQ,50.809135000000000,-1.211404000000000
Petrel and Perching duck,PO33 3UL,50.722045518367700,-1.182192816071710
Grackle and Kestrel,SO45 1SG,50.821815293224900,-1.374875486747170
Badger and Goose,PO30 5BD,50.701893935658600,-1.292414372491670
Rat and Parrotlet,PO32 6HE,50.751262000357800,-1.287588153693350
