name,postcode,lat,lon
Chicken and Lemming,TQ5 8EU,50.394776000000000,-3.516041806671040
Kākāriki and Pratincole,TQ12 6ZN,50.529245000000000,-3.598314919873670
Macaw and Philippine hawk-owl,TQ1 9HR,50.484759000000000,-3.549713000000000
Prion and Vole,TQ12 5NL,50.509827857816800,-3.619005966667580
Marsh harrier and Nukupuʻu,TQ10 9JY,50.437833588880800,-3.793113956125750
Grosbeak and Recurvebill,TQ11 0FD,50.483828232082900,-3.782590861072650
Grosbeak and Greenbul,TQ4 7BH,50.403372299643900,-3.566207024422880
Thicketbird and Parakeet,TQ3 1EN,50.456708124039500,-3.575984192651810
Solitaire and Greenbul,TQ2 6HX,50.462582280968400,-3.551804408582210
Black jay and Coati,TQ6 9LW,50.347768000000000,-3.600331000000000
Cloud rat and Treepie,TQ12 5NH,50.505857582551700,-3.615964000000000
B and Ice seal,TQ9 6FW,50.484883564716400,-3.690073486744040
Nukupuʻu and Shearwater,TQ2 8HJ,50.491286617029800,-3.538519801939210
Tit-tyrant and Francolin,TQ1 2EZ,50.461131272210600,-3.507573301840530
Civet and Zebra,TQ5 8JY,50.395136490551100,-3.526793921474930
Badger and Nukupuʻu,TQ14 9QW,50.553849954191200,-3.538226755763200
Dorcopsis and Kestrel,TQ9 7PE,50.415551000000000,-3.771842949062780
Pitohui and Mink,TQ12 6EJ,50.510172000000000,-3.691046000000000
Civet and Kite,TQ12 5QU,50.488458208257600,-3.635926000000000
Puffleg and Tattler,TQ5 8LT,50.394036440826000,-3.516009674146570
Condor and Old World warbler,PL21 0DB,50.389828873667800,-3.919550061959400
Cuscus and Meadowlark,TQ14 9UW,50.555350184123600,-3.513655135520910
Tattler and Towhee,TQ1 2SB,50.461713429302200,-3.507760886959910
Rabbit and Chickadee,TQ5 0JP,50.398822049851800,-3.553421524377520
Marmoset and Dorcopsis,TQ3 1PX,50.446882890615900,-3.568967334956480
Pheasant and Old World warbler,TQ9 5HZ,50.434419449687000,-3.684585523237350
Jay and Fulmarine petrel,TQ3 1BR,50.453675000000000,-3.598341000000000
Elephant and Gull,TQ14 9RB,50.551769006381900,-3.541321000000000
