name,postcode,lat,lon
Jay and Armadillo,YO13 0NQ,54.413941000000000,-0.523152000000000
Capuchin and Stilt,YO17 6XP,54.204954405043800,-0.806881100247079
Rat and Thicketbird,YO17 6TX,54.177455000000000,-0.839327000000000
Mockingbird and White ibis,YO22 5HX,54.452751848029400,-0.645290905687332
Lemming and Puffleg,YO13 9PJ,54.228153033063500,-0.622372887241389
Viscacha and Marsh harrier,YO62 7HU,54.300408840274300,-0.952383560529495
Logrunners and Logrunners,YO18 7QP,54.237741654419400,-0.707427856006334
Elephant and River dolphin,YO62 5UU,54.205351657290600,-0.978231378746942
Bronzewing pigeon and Goose,YO18 7EX,54.241176555360800,-0.774701205431322
Bunting and Polecat,YO17 7HE,54.146206067729700,-0.779696039116802
Masked owl and Partridge,YO62 6DA,54.269981372882600,-0.931427122958588
Nukupuʻu and Buzzard,YO17 6PP,54.162473384162200,-0.892110805239428
Siskin and Maya,YO17 7JR,54.137452639112200,-0.796760121778636
Fulmarine petrel and Tahr,YO17 8LR,54.155605029375500,-0.695424998352275
Parrotlet and Goose,YO62 5UX,54.206378520280500,-0.978497350422664
Egret and Jay,YO18 7TB,54.232313088137600,-0.724320187464500
Dolphin and Dolphin,YO18 8AP,54.249292458084000,-0.786232710732442
Buzzard and Night heron,YO62 6NB,54.267163071485000,-0.912752133610123
Philippine hawk-owl and Darwin's finches,YO17 6UQ,54.193182486095100,-0.758188027354091
Hawaiian honeycreeper and Perching duck,YO62 5UT,54.203191268361600,-0.977840082885470
Snipe and Black jay,YO18 7SB,54.234039299976400,-0.722671329315978
Petrel and Piping shrike,YO62 6AU,54.270456000000000,-0.934133000000000
Vole and Marmoset,YO13 9AQ,54.228069579326700,-0.580510000000000
Gull and Warbler,YO62 6PD,54.247561879036100,-0.916733000000000
Rabbit and Jerboa,YO18 8PW,54.275746545457800,-0.785609064535328
Siskin and Polecat,YO62 7LF,54.368656000000000,-0.971581000000000
Guillemot and Scimitar babbler,YO21 2PZ,54.426749000000000,-0.837488000000000
Buzzard and Grouse,YO17 6PY,54.192521000000000,-0.869865000000000
Hawaiian honeycreeper and Bunting,YO13 9BL,54.223885863476400,-0.587618642790514
Dorcopsis and Dorcopsis,YO22 4PL,54.438849598927400,-0.553943258003909
Tahr and Meadowlark,YO22 5EU,54.443715376405600,-0.662706469261317
Stint and Scimitar babbler,YO62 7HD,54.295755022733700,-0.964040868480401
Grouse and Mockingbird,YO21 1UU,54.437690269658700,-0.760163397579498
Francolin and Goose,YO22 5NN,54.383647857679600,-0.701106000000000
Badger and Dolphin,YO21 2QW,54.443580049712900,-0.795620000000000
Puffleg and Mamo,YO62 6EH,54.273089483665200,-0.938364745363268
Vulture and Darwin's finches,YO22 5EW,54.449332153449400,-0.667535952800739
Piping shrike and Towhee,YO17 8PP,54.183415000000000,-0.532192000000000
Fulmarine petrel and B,YO22 4QL,54.411209031681100,-0.578942000000000
Recurvebill and Triller,YO18 7RZ,54.237258000000000,-0.720117000000000
Triller and Solitaire,YO18 7HL,54.247043000000000,-0.772532000000000
Siskin and Tahr,YO62 7SD,54.241233343345500,-0.990265504675850
Maya and Songlark,YO62 7RL,54.249011305609200,-0.975771540259621
Meadowlark and Badger,YO18 7HD,54.247539188369300,-0.774620098030635
Buzzard and Old World vulture,YO17 7AG,54.140972000000000,-0.805334000000000
Guillemot and Duck,YO18 7ET,54.243310518643300,-0.776847790547316
Dolphin and Chicken,YO62 4LY,54.170379249110200,-0.980257458591308
Asiatic leopard and Argus,YO62 6AW,54.267511154100300,-0.935652110819353
Kite and Minke whale,YO62 7SL,54.250644441954000,-0.995760600160718
Grackle and Parrotbill,YO18 8BG,54.243027227993700,-0.787061123311300
Thicketbird and Armadillo,YO18 7ZP,54.238431000000000,-0.759300000000000
Chickadee and Stint,YO18 8NJ,54.249769000000000,-0.790673156400400
Rat and Kestrel,YO17 6UH,54.203659352670600,-0.741423464732339
Stint and Warbler,YO22 5EY,54.437027243371200,-0.655307589504372
Duck and Marsh harrier,YO18 7LJ,54.236195324250700,-0.725964950190282
Mink and Cuscus,YO13 0LA,54.349751914850700,-0.533840187806549
Towhee and Pitohui,YO62 6PS,54.270393024861000,-0.937328422411114
Kite and Parakeet,YO17 6PG,54.152227415265200,-0.872769689986496
Pheasant and Logrunners,YO18 7QW,54.237513192389200,-0.712114879645574
Mole and Tit-tyrant,YO18 8HW,54.316898000000000,-0.807627000000000
Songlark and Marmoset,YO22 5NL,54.389921000000000,-0.696135000000000
Skunk and Hawaiian honeycreeper,YO22 4TR,54.432483351236500,-0.548463169211562
Treepie and Cuscus,YO62 7RX,54.245723000000000,-0.974781419165454
Chipmunk and Marsh harrier,YO17 7DA,54.141290536787600,-0.790310000000000
Parrotbill and Viscacha,YO21 2PG,54.439055901253300,-0.804604000000000
Myna and Flameback,YO62 4AA,54.164669000000000,-0.933162000000000
Snipe and Maya,YO62 5XE,54.203756901224600,-0.941722000000000
Jerboa and Skunk,YO62 6NT,54.263902360869400,-0.910964815981779
Vulture and Old World warbler,YO18 8PQ,54.266633312849900,-0.823741176480405
Crow and Mamo,YO17 7HA,54.138214063592900,-0.791120388195750
Boto and Gull,YO62 4LR,54.150689000000000,-0.989959000000000
Grackle and Macaw,YO22 5JU,54.402379004425100,-0.724902809496353
Treepie and Elephant,YO17 8LS,54.155164903970600,-0.701567000000000
Zebra and Old World quail,YO22 4LW,54.451659000000000,-0.580577000000000
Crow and Logrunners,YO18 8TA,54.241384090844700,-0.781876606734490
Zebra and Nukupuʻu,YO18 7JP,54.222057000000000,-0.758595000000000
Boto and Perching duck,YO18 7PG,54.231023000000000,-0.653574000000000
Prion and Night heron,YO62 6AQ,54.268345502453400,-0.937519276517884
Parrotbill and Minke whale,YO18 7QA,54.297773005957500,-0.708329721106035
Meadowlark and Nukupuʻu,YO18 8BB,54.246421370686400,-0.785721000000000
Fox and Grouse,YO17 6UN,54.152763457802600,-0.853385143145388
Fulmarine petrel and Kite,YO22 4UR,54.402126515264200,-0.535285140241690
Parrotlet and Mockingbird,YO18 7SR,54.234408450780200,-0.723580493174872
Peafowl and Condor,YO22 4UP,54.427379029165200,-0.546886339656003
Rabbit and Coati,YO62 6PX,54.266920756167500,-0.936987797397535
Tit-tyrant and Old World quail,YO18 7EL,54.241391996841300,-0.772024757102062
Dorcopsis and Grosbeak,YO62 7JU,54.309983000000000,-0.946361000000000
Marsh harrier and Chipmunk,YO22 5PN,54.433281000000000,-0.715711000000000
Myna and Solitaire,YO18 7QX,54.234996937319100,-0.713834915836739
Marsh harrier and Triller,YO17 6PH,54.157558091261400,-0.896147126512244
Eagle and Recurvebill,YO17 6RL,54.178872597363200,-0.663205669451811
Parrotbill and Hawk,YO18 8AD,54.246630548056600,-0.781629974026990
Old World vulture and Wader,YO18 8DU,54.246983738891900,-0.779824000000000
Mockingbird and Duck,YO18 7TD,54.232973000000000,-0.726294000000000
Darwin's finches and Cloud rat,YO17 7FS,54.141927000000000,-0.806474000000000
Black jay and Polecat,YO13 9NL,54.229405308216700,-0.624202797535878
Chicken and Siskin,YO62 6TN,54.305309234876300,-0.882608000000000
Partridge and Jay,YO13 9BQ,54.228102569758300,-0.582366270613504
Zebra and Chipmunk,YO22 4TQ,54.433861000000000,-0.542617000000000
Quetzal and Grosbeak,YO62 6UA,54.300350498422000,-0.917271785127530
Capuchin and Stilt,YO62 5YE,54.204824966498000,-1.014272881788170
Francolin and Marsh harrier,YO62 4HR,54.171339485314100,-1.052477000000000
Condor and Parrotbill,YO18 7PY,54.298368016207000,-0.706820546664646
Maya and Peafowl,YO18 8BA,54.245987000000000,-0.785424000000000
Condor and Flameback,YO17 6SW,54.148293961491600,-0.842791199804998
Grackle and Boto,YO18 8BE,54.244817303258500,-0.787208122123027
Flameback and Herring gull,YO17 6SH,54.150297000000000,-0.838030464903251
Philippine hawk-owl and Tit-tyrant,YO22 4TS,54.432863360487000,-0.549421016267935
Old World vulture and Ice seal,YO62 7HA,54.297228898360500,-0.966124335530280
Kākāriki and Myna,YO18 8PB,54.258860000000000,-0.802746000000000
Kite and Badger,YO18 7LG,54.236420829407000,-0.722643819438732
Gull and Herring gull,YO62 7TL,54.257577328185100,-0.995085602598243
Dorcopsis and Fox,YO18 7DR,54.243736278123700,-0.772753142661122
Vulture and Parakeet,YO18 8HZ,54.327224000000000,-0.780603000000000
Night heron and Goose,YO17 8PZ,54.179267624908900,-0.531711000000000
Kangaroo and Old World vulture,YO62 7SF,54.255626652177500,-0.993966411779345
Petrel and Philippine hawk-owl,YO13 9DQ,54.225785402310300,-0.558270115172592
Wader and Magpie,YO21 1TU,54.446873000000000,-0.755344121562277
Ground sloth and Bunting,YO22 4SB,54.431795424988300,-0.533178640233020
