name,postcode,lat,lon
Logrunners and Hawk,B90 3EG,52.405615090000000,-1.816228941000000
Vulture and Eagle,B24 9RQ,52.514049000000000,-1.831073000000000
Jerboa and Diving bird,B2 4AE,52.479564740000000,-1.895695877000000
Bronzewing pigeon and Grouse,CV8 1JL,52.341116529235900,-1.574221329564280
Guillemot and Fox,B90 2QW,52.402238270000000,-1.843669822000000
Tahr and Eagle,B21 9BS,52.503178250000000,-1.927843955000000
Guillemot and Philippine hawk-owl,B92 9JS,52.426730270000000,-1.764095432000000
Tattler and Fulmarine petrel,B23 6PE,52.525028240000000,-1.847244048000000
Tree warbler and Greenbul,B48 7QE,52.342110480000000,-1.940317776000000
Vulture and Tattler,B38 9RQ,52.393881750000000,-1.934796272000000
Maya and Towhee,CV5 7FN,52.416096878196900,-1.600656254783920
Peafowl and New World blackbird,B35 6BY,52.520675280000000,-1.792744321000000
Recurvebill and Hawk,B93 0JG,52.388549090000000,-1.730297600000000
Jackal and Piping shrike,B18 5JA,52.497217000000000,-1.925261000000000
Duck and Hawk,B33 9TJ,52.485939250000000,-1.778446372000000
Night heron and Wallaby,B10 9AN,52.472911880000000,-1.853018514000000
Hawk and Moluccan boobook,CV7 8ES,52.481055965934300,-1.586654665923960
Badger and Kite,B13 8RS,52.449442410000000,-1.899298206000000
Stint and Snipe,B19 3QA,52.487776420000000,-1.900168147000000
Darwin's finches and Mockingbird,B94 5HX,52.335844810000000,-1.856862707000000
Parrotbill and Rat,CV4 9BY,52.401953868851000,-1.559687693522050
Bunting and Moluccan boobook,CV5 8LX,52.410416290867800,-1.558001068360280
Argus and Pheasant,B13 0ED,52.423449470000000,-1.861005966000000
Chipmunk and Kangaroo,B11 1LN,52.460859680000000,-1.871382146000000
Duck and Rabbit,B37 6TN,52.481124650000000,-1.724652445000000
Francolin and Lemming,B11 1TU,52.458396800000000,-1.863677651000000
Pitohui and Tit-tyrant,CV4 8AR,52.393472484490700,-1.596466437525160
Jay and Thrasher,B91 3GH,52.413454750000000,-1.779750000000000
Kākāriki and Tit-tyrant,B90 3LQ,52.413366110000000,-1.811506860000000
Wader and Mole,B13 9EJ,52.444792000000000,-1.885052000000000
Siskin and Tahr,B15 1JR,52.468827430000000,-1.914018623000000
Black jay and Kestrel,B34 7EQ,52.500589700000000,-1.776752410000000
Greenbul and Vole,CV8 1JA,52.340645454856000,-1.573227756196940
Philippine hawk-owl and Philippine hawk-owl,B6 5NA,52.503094450000000,-1.889114140000000
Lemming and Parakeet,B91 3DX,52.414780970000000,-1.777244261000000
Francolin and Wader,B12 8UT,52.460042500000000,-1.880847843000000
Fox and Partridge,B15 3TS,52.467004000000000,-1.927535000000000
River dolphin and Tree warbler,B20 3JH,52.514345000000000,-1.903232504000000
Pratincole and Mockingbird,B15 3SR,52.462657000000000,-1.920683000000000
Mink and Fulmarine petrel,B8 2AF,52.489391970000000,-1.827441357000000
Vulture and Capuchin,CV7 7AW,52.390600769993900,-1.673932145859620
Asiatic leopard and Ice seal,B24 9QJ,52.512053250000000,-1.825835058000000
Tree warbler and Ibex,B37 5BP,52.480382660000000,-1.755209924000000
Kestrel and Warbler,B2 2BY,52.495953000000000,-1.894214000000000
Diving bird and Ibex,B7 4LJ,52.486223670000000,-1.874430283000000
Wallaby and Towhee,B33 0BS,52.480322420000000,-1.765428881000000
Skunk and Jerboa,B15 1PJ,52.468650000000000,-1.915682000000000
Nukupuʻu and Wallaby,B38 9RS,52.392820980000000,-1.934915389000000
Siskin and Chicken,B35 7AG,52.510579000000000,-1.791863000000000
Boto and Parrotlet,B90 1HB,52.406164340000000,-1.855797768000000
