name,postcode,lat,lon
Vulture and Solitaire,G69 8EE,55.894606878102700,-4.080740589438350
Mink and Cuscus,FK6 5BY,56.019804221203700,-3.918946925245940
Perching duck and Black cockatoo,G67 2EY,55.952498040426300,-3.972219790762970
Parakeet and Nukupuʻu,FK6 6ED,56.021035454634300,-3.900956832354840
Mink and Jackal,G65 9DS,55.954634000000000,-4.088244000000000
Chickadee and Dolphin,G65 0EP,55.974106076008600,-4.042778000000000
Warbler and Badger,G69 9LR,55.905513923662500,-4.101212000000000
Magpie and Philippine hawk-owl,G65 0RS,55.981815720843600,-4.050766611034150
Mockingbird and Rat,G68 9NQ,55.945197319256000,-4.044089741916640
Vulture and Black jay,G69 0JZ,55.920450230993800,-4.079340701682060
Kestrel and Argus,G68 9FL,55.929019142622100,-4.043653782444240
Marsh harrier and Siskin,FK6 6NS,56.022185545819600,-3.916064474703030
River dolphin and Kangaroo,G68 0HF,55.980720689103200,-3.945942424233180
Skunk and Old World warbler,G67 4AS,55.935290349651800,-4.000515805105150
Guillemot and Mink,G69 0AL,55.910006819127000,-4.082029575688230
Treepie and Asiatic leopard,ML6 7JL,55.881698842750600,-3.920598872388140
Grosbeak and Duck,FK6 5EF,56.013719000000000,-3.901890000000000
Bunting and Nukupuʻu,FK4 1HG,55.990584915238800,-3.938726253227220
Grosbeak and Thrasher,G68 9NH,55.944715419329100,-4.043343698589240
Cloud rat and Herring gull,G65 0QZ,55.990886737567900,-4.010201444968970
Piping shrike and Fulmarine petrel,ML5 2SP,55.893508855430900,-4.061073926473100
Elephant and Mamo,ML6 7RP,55.894861274465500,-3.872981530203360
Marmoset and Towhee,G65 9LU,55.973836897078200,-4.074832747792540
Francolin and Mink,G67 1LG,55.950450000000000,-3.991191000000000
Magpie and Grackle,FK4 2DB,55.995949266483100,-3.892509092822520
Pheasant and Cuscus,G67 4AL,55.927146656173300,-4.041138112032160
Hawk and Perching duck,G68 9NG,55.949546967667300,-4.026140450264820
Badger and Philippine hawk-owl,FK6 5EU,56.013922000000000,-3.900922000000000
Solitaire and Minke whale,G69 9FA,55.897020617027200,-4.109996570144760
Prion and Capuchin,G65 0AW,55.976950599523100,-4.055814244428340
Cuscus and Flameback,G65 0RD,55.989114092639300,-4.007031159820780
Macaw and Parrotbill,G67 9EB,55.951916424772800,-3.983659038695280
Cloud rat and Linsang,G66 3NG,55.932185885080300,-4.111636105932380
Cloud rat and Snipe,G69 0PA,55.913934987650300,-4.090465132297350
River dolphin and Diving bird,G69 9DW,55.903239609232700,-4.107902720593230
Chipmunk and Rat,FK6 5FA,56.015263000000000,-3.900811000000000
Petrel and Goose,FK4 1QD,55.992188152238900,-3.932200675675770
Old World warbler and Parakeet,G65 0GZ,55.979697420667500,-4.046679890972150
White ibis and Tit-tyrant,G69 9HX,55.911997051888600,-4.102937663444330
Parrotlet and Lemming,FK4 1LN,56.002925451668400,-3.887060504620130
Logrunners and Warbler,G69 9JF,55.900672315724200,-4.121328446814070
Black cockatoo and Mockingbird,G68 0JL,55.978874000000000,-3.947404000000000
Magpie and Prion,G69 8FH,55.878823000000000,-4.104165000000000
Marsh harrier and Elephant,G67 4DJ,55.933499686076200,-4.025942854180450
Tree warbler and Herring gull,G67 4AQ,55.936573071425900,-4.007290497829690
Nukupuʻu and Magpie,G65 0NR,55.976504625546000,-4.053995490971120
Black jay and Tahr,ML6 7LD,55.882089846452900,-3.939787994668000
Stilt and Scimitar babbler,ML6 7RX,55.897217145381200,-3.859851907661700
Parakeet and Maya,G69 8EW,55.881170601992200,-4.109807820943040
Fulmarine petrel and Partridge,G65 9AN,55.978765560863500,-4.070865185866700
Pitohui and Jackal,FK4 1JR,55.987173424099200,-3.951605171197990
Tahr and Treepie,FK4 1PU,56.007373384102000,-3.880027437965670
Grosbeak and Black jay,ML6 7LX,55.881010681509800,-3.934551000000000
Viscacha and Tree warbler,G67 3HT,55.936977000000000,-3.976250000000000
Ibex and Egret,G65 9PJ,55.982582548176200,-4.061900032683140
Mole and Chicken,G69 0AN,55.910527806358500,-4.081513491169690
Jackal and Crow,G67 2QE,55.945682413868100,-3.976933809939690
Eagle and Egret,FK4 1QA,55.991874178582800,-3.931591768944860
Booted eagles and Triller,G68 9DL,55.951898051721200,-4.024165031045040
Tit-tyrant and Puffleg,G68 0DD,55.959665484765100,-4.020709654616210
Boto and Mink,ML5 2TF,55.896773000000000,-4.037767000000000
Grackle and Coati,G68 9DW,55.950079113439800,-4.009014580494690
Buzzard and Black cockatoo,ML5 2RY,55.896395641043500,-4.057196424793040
Zebra and Myna,G69 8LL,55.887393109224000,-4.092235669655830
Linsang and Grackle,G69 9FT,55.893919000000000,-4.114007000000000
White ibis and Marmoset,G65 0JB,55.979894801718900,-4.048468945918230
Eagle and Goose,FK4 2BA,55.989958000000000,-3.884120000000000
Minke whale and Bunting,G65 0JZ,55.974504570863700,-4.058342000000000
Civet and Rabbit,FK6 6EL,56.022708000000000,-3.901504000000000
Elephant and Thrasher,G67 1JE,55.944884944702600,-3.997951898154060
Duck and Duck,G68 9EA,55.935998979823300,-4.035151438387040
Old World vulture and Magpie,G69 0DW,55.912567718297100,-4.089479456455900
Parrotlet and Logrunners,G68 9HF,55.926949592865000,-4.047594597767630
Crow and Macaw,G69 0LY,55.912484018020700,-4.097606000000000
Civet and Petrel,G68 9GJ,55.932848769864200,-4.010124192684320
Fox and Bunting,FK6 5FQ,56.012836000000000,-3.903178000000000
Macaw and Mockingbird,FK4 1TT,55.989364157084300,-3.966994589378190
Crow and Tree warbler,G69 8FY,55.887814000000000,-4.088905000000000
Diving bird and Flameback,G65 0AZ,55.976390804138600,-4.055431932908810
Minke whale and Argus,G67 3BN,55.953261766084600,-3.956449241130780
Bronzewing pigeon and Moluccan boobook,G67 3AB,55.949776898860100,-3.961859000000000
Puffleg and Hawk,G66 2PL,55.944825445123400,-4.120328000000000
Grosbeak and Egret,G69 0BS,55.909445868627800,-4.085967500457470
Lemming and Snipe,FK4 1UR,55.999341187148800,-3.904911295546720
Moluccan boobook and Tattler,FK6 5BL,56.018027240967600,-3.902557816194440
Zebra and Grosbeak,G65 9LF,55.975184781591700,-4.108079000000000
Triller and Warbler,FK6 6NR,56.022754882461600,-3.912386004101430
Old World quail and Stilt,ML6 7HY,55.876976488576200,-3.965830124553240
Polecat and Argus,G65 9EH,55.972921697096600,-4.092813204963860
Kangaroo and Thicketbird,FK4 2DT,55.990706425043300,-3.892749864049180
Kestrel and Siskin,FK1 3DY,55.929616920670900,-3.903167957122990
Wallaby and Partridge,G68 9EG,55.933104591213100,-4.040618994003670
Solitaire and Gull,FK6 5HN,56.021377263593200,-3.924111449582110
Duck and Asiatic leopard,FK4 1JQ,55.986608610051600,-3.953921000000000
Puffleg and Asiatic leopard,G69 0JA,55.913294022565300,-4.092750859152520
Badger and Ground sloth,G69 9NZ,55.905314808103700,-4.114380000000000
New World blackbird and Warbler,FK6 6BA,56.021579975943000,-3.907594423089620
Triller and Stint,G69 0EQ,55.911577366264500,-4.082689805369540
Stint and Mouse,G70 6AD,55.946819709408600,-3.994464186447350
Francolin and Parrotlet,G67 4DR,55.934893000000000,-4.025967000000000
Marmoset and Old World quail,G69 0EW,55.914504521002200,-4.078590252460210
Solitaire and Rabbit,G66 3TR,55.934101702450900,-4.123043622178470
Flameback and Mockingbird,G65 9JE,55.978107708884900,-4.061325253470340
Logrunners and New World blackbird,G67 4HJ,55.921233065917000,-4.047645181206210
Songlark and Skunk,G65 0RH,55.988603993766100,-4.006347393341960
Mockingbird and Chipmunk,G67 1LJ,55.949602521440400,-3.989097724948200
Solitaire and Darwin's finches,G69 0BU,55.910673029608100,-4.086737434334180
Masked owl and Mamo,ML6 7JJ,55.880729269332100,-3.922837203466100
Jerboa and Elephant,G65 9PT,55.982895032236900,-4.059335800665790
New World blackbird and Jackal,G67 4BL,55.933443378143500,-4.001909476036060
Grackle and Philippine hawk-owl,ML6 0LR,55.875508556861700,-3.991173069178410
Nukupuʻu and Tattler,G68 9AY,55.927057974503300,-4.061593000000000
Macaw and Rabbit,FK6 5NU,56.006907251394600,-3.910929107239990
Mink and Fox,G68 0GN,55.962001003024900,-4.007470000000000
Grosbeak and Grackle,G65 9RT,55.956124000000000,-4.089712000000000
American sparrow and Magpie,FK4 1HP,55.990563936493600,-3.941771466698780
Myna and Bunting,G67 4AX,55.929227805957700,-4.039198543496690
Piping shrike and Warbler,G67 4RA,55.936856197053900,-4.013069110362000
Boto and Herring gull,G67 2BG,55.954870937181200,-3.974999528176930
Mink and Fulmarine petrel,ML5 2RU,55.897313906661500,-4.057101086533410
Kestrel and Night heron,ML5 2PX,55.889790134994400,-4.038296359469220
Moluccan boobook and Parrotbill,FK6 5BH,56.016700318414900,-3.905268110242480
Buzzard and Argus,G67 4AJ,55.927251054347300,-4.039718964831050
Mockingbird and Greenbul,FK6 6DD,56.023275034315800,-3.909152000000000
Darwin's finches and Towhee,G68 9HX,55.928264000000000,-4.055509088429290
Bunting and Magpie,FK6 6DB,56.022845209800600,-3.908876342782700
Jackal and Magpie,G67 4NU,55.933770127535900,-4.012188569308910
Duck and Prion,FK4 1FD,56.002502000000000,-3.903495000000000
Viscacha and Masked owl,FK6 6EQ,56.021934739596000,-3.899749457408560
Parrotlet and Chickadee,G68 0BP,55.978015430733400,-3.960135403915910
Jerboa and Fox,ML6 7UZ,55.908445477000000,-3.973710758600000
Black jay and Petrel,G66 3NA,55.933473847469200,-4.117229648736300
Chipmunk and Viscacha,ML6 7UD,55.880626484506400,-3.968556701800390
American sparrow and Tahr,G68 0JN,55.962617664437700,-3.995068701451030
Fulmarine petrel and Thicketbird,G65 0HJ,55.977975159770100,-4.056349461753170
Marmoset and Viscacha,G69 9LT,55.903137569792800,-4.100202405178360
Cloud rat and Magpie,G67 2ER,55.951919964114000,-3.970156219152460
Mink and Old World vulture,G67 1HW,55.947473363190200,-3.991278718097700
Wader and Hawaiian honeycreeper,ML6 7NT,55.880279926986400,-3.933734385343220
Linsang and Shearwater,G69 8EU,55.888289326040300,-4.083376764119370
Siskin and Asiatic leopard,G66 2UH,55.946190565533700,-4.121927621725650
Capuchin and Marmoset,G68 9DE,55.936052940291200,-4.040037557607930
Pheasant and Hawk,ML6 6SE,55.877881711745600,-3.991134719329480
Mockingbird and Booted eagles,G67 2TT,55.931709000000000,-3.988052000000000
Tree warbler and Black cockatoo,G68 0AA,55.971022510932700,-4.019105000000000
Macaw and Civet,G67 4DD,55.933331520097300,-4.023052344248160
Towhee and Pitohui,ML6 6PQ,55.877036722418300,-3.976096328377160
Night heron and Old World warbler,ML6 6QJ,55.876944567484700,-3.972878418567570
Old World vulture and Quetzal,G69 9EP,55.897576991553400,-4.099533949434940
Fulmarine petrel and Pheasant,G68 0JH,55.962200310738100,-3.993092606791510
Vulture and Magpie,G69 0AJ,55.910376304866000,-4.081969381696240
Pheasant and Chicken,G69 0HA,55.913448861947500,-4.078837776688810
Stilt and Perching duck,G69 8BX,55.897012196140600,-4.094053000000000
Bunting and Chicken,G67 2EF,55.955654107883200,-3.969865400487570
Chipmunk and Cloud rat,G69 8DG,55.877497000000000,-4.109720000000000
Dolphin and Lemming,G69 0AB,55.907857066621800,-4.084794217346940
Night heron and Old World quail,FK6 5ET,56.013523000000000,-3.901752000000000
Kangaroo and Parrotbill,FK6 5HL,56.022255010466500,-3.924299531707950
American sparrow and Tattler,G67 3BU,55.955740162694900,-3.958832924614650
Masked owl and Puffleg,G68 9PB,55.944253223280100,-4.050605812802590
Minke whale and Peafowl,G33 6PB,55.888366000000000,-4.122544000000000
Mole and Pratincole,ML6 7JY,55.878613064890300,-3.932292620422990
Argus and Quetzal,G68 9JD,55.946246886837600,-4.026256320498480
Thrasher and Maya,ML6 0NS,55.887680000000000,-3.997633000000000
Piping shrike and Parrotlet,G67 4JJ,55.935071345622900,-4.017795609327580
Thicketbird and Hawk,G67 1YZ,55.946819709408600,-3.994464186447350
Partridge and Jerboa,G69 0EF,55.913821962156700,-4.084410367241240
Marsh harrier and Masked owl,ML6 7JW,55.880916078337200,-3.924109466564260
Songlark and Marmoset,G67 4JT,55.931147923287700,-4.015366400138670
Vole and Macaw,G68 9DQ,55.947070692385100,-4.011084859996910
White ibis and B,G67 4DW,55.934043730232800,-4.026195397737540
