name,postcode,lat,lon
Warbler and Herring gull,GL6 6XN,51.787482000000000,-2.193046202353380
Petrel and Marmoset,GL14 1PQ,51.826088701530000,-2.404810097108580
Thrasher and Wallaby,GL5 1QT,51.748436921124200,-2.211275073212840
Meadowlark and B,GL6 9HR,51.698260024954900,-2.209811168133310
New World blackbird and Parrotbill,GL6 6PH,51.786044789709000,-2.226687397880430
Kestrel and Night heron,GL5 1QJ,51.747635890614400,-2.216659682197930
Puffleg and Kangaroo,GL13 9BQ,51.688604000000000,-2.457191935799810
Argus and Flameback,GL8 8DH,51.636427717132600,-2.158013430549100
Quetzal and Greenbul,GL11 5JQ,51.706243591539700,-2.370193595094120
Wader and Pheasant,GL2 4WQ,51.822161593626200,-2.284584480100910
Night heron and Civet,GL5 1UD,51.748942134904900,-2.210321407910020
Capuchin and Perching duck,GL1 9AT,51.827861000000000,-2.274173000000000
Vulture and Marmoset,GL3 4UX,51.841956406979600,-2.150372466729050
Linsang and Crow,GL5 1SX,51.752865988782300,-2.208224629267470
Duck and Skunk,GL4 3DN,51.860714539283800,-2.217580000000000
Shearwater and Recurvebill,GL10 3NL,51.729190726419400,-2.282204351012830
Parrotbill and Jay,GL3 4QL,51.848875476370300,-2.153429674220170
Elephant and Snipe,GL10 2AZ,51.739966066423700,-2.282619388357180
Boto and Tattler,GL17 0QZ,51.864195000000000,-2.458101000000000
River dolphin and Grosbeak,GL1 4BG,51.860700534353300,-2.234018451383170
Masked owl and Macaw,GL2 8JF,51.852202329430600,-2.328663173764320
Lemming and Macaw,GL1 5PP,51.854911037759600,-2.251121084810760
Tattler and Kite,GL4 4SF,51.842320040788400,-2.201699329345950
Recurvebill and Bunting,GL1 4SG,51.858125726240300,-2.240161673114290
Chipmunk and Petrel,GL1 4TL,51.854639029010400,-2.239286461456820
Rabbit and Grosbeak,GL6 8NB,51.730318079390000,-2.147771279535320
Badger and Chipmunk,GL11 4JT,51.679227927835300,-2.354685697039850
Moluccan boobook and Pitohui,GL1 3AW,51.869135014477700,-2.242398942829860
Night heron and Cuscus,GL2 2FU,51.813791000000000,-2.264713000000000
Magpie and Peafowl,GL2 2DE,51.813963600407500,-2.280093929405570
Flameback and Kestrel,GL4 0PB,51.835671559679500,-2.254758305693550
Grackle and Tattler,GL4 4AW,51.842271952450100,-2.213645093305340
River dolphin and Hawaiian honeycreeper,GL1 4NR,51.852896861018400,-2.233789185167230
New World blackbird and Rat,GL2 4AT,51.810167803957400,-2.271382239639870
Puffleg and Kangaroo,GL5 5WZ,51.752850585811300,-2.221552121372160
Mouse and Booted eagles,GL1 4DH,51.859536701108000,-2.231500321187000
Kite and River dolphin,GL2 4GF,51.830044829031700,-2.289031116832180
Magpie and Francolin,GL1 1HD,51.864809531436300,-2.242593000000000
Guillemot and Old World quail,GL2 0SW,51.863956210695700,-2.219542262549290
Gull and Perching duck,GL11 4NY,51.675930485113400,-2.341774308048010
Scimitar babbler and Shearwater,GL11 6AE,51.669326952309500,-2.324155846818430
Meadowlark and Towhee,GL3 3EW,51.854701649541400,-2.190270098125220
Pratincole and Jay,GL6 7DR,51.737010923726400,-2.158885902986600
Rabbit and Partridge,GL3 3RG,51.852616847328100,-2.189593443407200
Tattler and Marsh harrier,GL2 7JN,51.798630374239500,-2.423589000000000
Minke whale and Moluccan boobook,GL5 2JJ,51.738943203844600,-2.205713085636400
Puffleg and Rat,GL1 5RY,51.857375919384400,-2.250481419157120
White ibis and Parrotlet,GL3 3AN,51.859724989910500,-2.197290330453450
Mouse and Puffleg,GL1 1UR,51.861287670524000,-2.250154654193050
Lemming and Snipe,GL12 7AR,51.639117731317600,-2.357710479267200
Vole and Bunting,GL8 8NW,51.682816462825600,-2.168762851160060
Scimitar babbler and Peafowl,GL13 9HD,51.698869237859700,-2.408621692895050
Booted eagles and Snipe,GL6 0DB,51.694033076534200,-2.220222807343140
Kestrel and Petrel,GL4 0AU,51.837837000000000,-2.243029834417490
Nukupuʻu and B,GL2 7AP,51.738306872123600,-2.346357888372240
Bunting and Grosbeak,GL12 8HA,51.648216343925900,-2.422778001868920
Kite and Bronzewing pigeon,GL6 8PB,51.711908000000000,-2.165948000000000
Pratincole and Francolin,GL6 8SW,51.722321783760500,-2.170039301621430
Parrotbill and Pheasant,GL11 5NG,51.707117939032600,-2.366626173648180
Wader and Myna,GL10 2EA,51.751014868409500,-2.277299368435360
Scimitar babbler and Thicketbird,GL6 6LT,51.777237987487900,-2.219627978475240
Jay and Pheasant,GL4 6BD,51.843158091219000,-2.225392292685330
Jay and Kākāriki,GL6 8BT,51.728572400119700,-2.148880437755680
Marsh harrier and Philippine hawk-owl,GL2 4XZ,51.826082549196700,-2.291559490797710
Petrel and Cuscus,GL1 4DL,51.857453279614900,-2.230240892371080
Cloud rat and Old World quail,GL6 9JJ,51.703945000000000,-2.181880000000000
Civet and Moluccan boobook,GL4 6PY,51.852543970618700,-2.228256085858600
Grouse and Myna,GL4 4LQ,51.853269406035900,-2.222510083620920
Wallaby and Ibex,GL2 7ET,51.767896064318700,-2.367263612579590
Viscacha and Civet,GL6 8PU,51.720308593459100,-2.163126652820010
Philippine hawk-owl and Zebra,GL10 3DZ,51.788162000000000,-2.271989000000000
Dolphin and Black jay,GL11 4NQ,51.680475570507000,-2.352410232161860
Thrasher and Chicken,GL6 8QF,51.725088276848800,-2.152430461226170
Fulmarine petrel and Parakeet,GL14 1AP,51.802000654347200,-2.449623826280330
Shearwater and Hawk,GL6 0FA,51.701144000000000,-2.241452000000000
Asiatic leopard and Solitaire,GL5 3DQ,51.745718981588900,-2.217635426786180
Cloud rat and Stilt,GL2 4WS,51.823637830173700,-2.291224492182020
Darwin's finches and Meadowlark,GL4 5UR,51.841838426209100,-2.194047757974550
Kestrel and Kākāriki,GL6 6SH,51.783496904951300,-2.182170994403700
Piping shrike and Recurvebill,GL5 5PA,51.722837640054200,-2.231191601955840
Jerboa and Vole,GL4 4WE,51.846917967159100,-2.209936334212090
Quetzal and Greenbul,GL14 1QD,51.828179191998500,-2.387445040359370
Viscacha and Fox,GL5 2QR,51.717440862888800,-2.192500886846830
Myna and Cuscus,GL3 3HJ,51.853925200978700,-2.197671462593980
Triller and Hawk,GL4 5TU,51.850312305157600,-2.202098044260660
Tree warbler and Diving bird,GL5 4BL,51.748662182951500,-2.239145542629040
Francolin and Wader,GL6 8HL,51.730733029427200,-2.160427629376920
Ibex and Mole,GL11 6LN,51.697122449827300,-2.377121980146850
Towhee and Wader,GL6 6XA,51.781891000000000,-2.197398157546730
Parrotlet and Cloud rat,GL10 2DS,51.746436255286300,-2.289105000000000
Minke whale and Viscacha,GL14 1RA,51.800523483453700,-2.370501706417960
Egret and Flameback,GL2 9HZ,51.874380741430300,-2.221830000000000
Solitaire and Grosbeak,GL14 1QF,51.825491502071900,-2.389975695530410
Old World warbler and American sparrow,GL4 4DX,51.846852488494700,-2.201109914645640
Chickadee and Recurvebill,GL13 9BH,51.690414043233200,-2.458267261910530
Skunk and Minke whale,GL4 8DH,51.830599882253600,-2.199325077721950
Booted eagles and Piping shrike,GL1 2LB,51.866552692031100,-2.251868556965860
Old World quail and Quetzal,GL1 4JQ,51.856248791140700,-2.230089541190040
Cuscus and Magpie,GL12 7PX,51.661277350290200,-2.301458246406800
Solitaire and Asiatic leopard,GL5 4JE,51.742769185208600,-2.245356681316170
Songlark and Boto,GL4 5TD,51.849922007605000,-2.204230384420060
Boto and Coati,GL6 6TY,51.810164122720700,-2.170283135860610
Black jay and B,GL3 4UR,51.841585453617600,-2.158964068562240
Jay and Parakeet,GL4 5EQ,51.840237241590600,-2.205100919353610
Francolin and Treepie,GL10 2JH,51.743904394833100,-2.280456677415550
Partridge and Asiatic leopard,GL5 1NW,51.744992000000000,-2.202511000000000
Macaw and Fish eagle,GL6 7JU,51.756039958472100,-2.192346458547310
Piping shrike and Nukupuʻu,GL1 4TS,51.854311798383500,-2.241027009205470
Greenbul and Booted eagles,GL4 5WF,51.844923830349700,-2.193132017267360
Recurvebill and Tit-tyrant,GL6 6YE,51.782497699963300,-2.194140634781710
Fox and Grosbeak,GL11 4NX,51.677222410602000,-2.342738557170080
Marsh harrier and American sparrow,GL11 5BY,51.681733188240300,-2.279334404026380
New World blackbird and Fox,GL1 4JE,51.856795181019900,-2.231137759787920
Badger and Treepie,GL4 0TG,51.824050000000000,-2.257914000000000
Solitaire and Songlark,GL4 0LR,51.835019459532800,-2.270980000000000
Cuscus and Jay,GL5 1UA,51.749077752039600,-2.209901965605080
Rabbit and Badger,GL5 1PX,51.744824429846700,-2.205117021882500
Marsh harrier and Grackle,GL14 1AJ,51.804696174827200,-2.452435267468360
Fulmarine petrel and Philippine hawk-owl,GL6 9BH,51.711788000000000,-2.148246000000000
Diving bird and Shearwater,GL6 8DQ,51.730138094618900,-2.167940229817850
Minke whale and Myna,GL2 2AH,51.810313000000000,-2.267841000000000
Petrel and Tit-tyrant,GL5 5NG,51.724281000000000,-2.234051000000000
Mamo and Condor,GL2 4JF,51.821072867965100,-2.295836110126410
Kangaroo and Recurvebill,GL2 5HS,51.862109058424400,-2.261079426208380
Mamo and Boto,GL14 1EJ,51.773052050326700,-2.432278000000000
Meadowlark and Black jay,GL2 8AL,51.865209493260100,-2.363205607059470
Elephant and Mink,GL13 9EF,51.693766172888000,-2.458677294893440
Scimitar babbler and Kākāriki,GL5 1EF,51.741437934822800,-2.203305796650860
Crow and Siskin,GL3 4LB,51.845670522018000,-2.149702600205580
Jackal and Mouse,GL6 6HL,51.758919880959800,-2.248356473995430
