name,postcode,lat,lon
Parrotlet and Nukupuʻu,HP10 9SX,51.607231639745500,-0.700147295653742
Jackal and Wallaby,HP11 1GD,51.620156207734800,-0.724117000000000
Parrotbill and American sparrow,HP11 2TR,51.626375000000000,-0.754744000000000
Wader and Perching duck,HP13 7RW,51.627279056544900,-0.724351554287581
Dolphin and Coati,SL7 1UF,51.578156724607300,-0.759583794226222
Jackal and Goose,HP13 5BU,51.641067000000000,-0.753872003655839
Greenbul and Wallaby,SL6 9PG,51.557370003705700,-0.743748006716611
Booted eagles and Mouse,SL7 3PP,51.591568305822800,-0.783239840549217
Chickadee and Condor,HP27 0RL,51.709524485123000,-0.803683985389930
Parrotbill and Ibex,HP10 9TP,51.607737808784500,-0.698760939467650
Chicken and Ibex,HP14 3UX,51.650071343439400,-0.868053645034721
Bronzewing pigeon and Bunting,HP14 4HD,51.664930692388600,-0.806796228730437
New World blackbird and Tattler,HP13 5EN,51.641981609715900,-0.758002191394414
Chickadee and Cuscus,HP27 9BP,51.718498401614600,-0.841143320533578
River dolphin and Ground sloth,HP14 3PJ,51.626891000000000,-0.868930578694150
Coati and Stint,HP14 4LL,51.668540029018900,-0.757709917769560
American sparrow and Prion,HP14 4XA,51.680013000000000,-0.795552000000000
Dolphin and Parrotbill,HP16 0LQ,51.695733306317800,-0.734350508625530
Parrotlet and Capuchin,HP9 1HW,51.608828584024400,-0.656690699389524
Gull and Minke whale,HP11 9SN,51.627426815191300,-0.748951126192552
Mockingbird and Ibex,HP11 1BY,51.616026000000000,-0.746847000000000
Recurvebill and Moluccan boobook,HP9 1TG,51.619135785167100,-0.653771917461319
Scimitar babbler and Old World warbler,HP14 3UG,51.658977325551200,-0.900851000000000
Rat and Kangaroo,SL7 3JX,51.581378739945200,-0.771835979752182
Mink and Prion,RG9 3AX,51.561960000000000,-0.875191000000000
Fox and Dorcopsis,HP13 7AQ,51.624414830092400,-0.730542670368349
Chipmunk and Herring gull,HP10 8NL,51.622373870875500,-0.689631593010667
Pheasant and Grackle,HP14 3QQ,51.656071638413600,-0.898623640510768
Flameback and B,HP10 0ET,51.584819109258300,-0.684375636721743
Snipe and Vole,HP10 9UW,51.607924000000000,-0.701615000000000
Old World vulture and Meadowlark,HP13 6GF,51.631327000000000,-0.744512564076218
Booted eagles and Guillemot,HP15 6WG,51.627758396455600,-0.748002927687814
