name,postcode,lat,lon
Zebra and Mink,IV19 1DG,57.808345928040400,-4.055322996036050
Myna and Rat,IV20 1XD,57.763531832435500,-3.896871516195110
Fish eagle and Perching duck,IV20 1YS,57.834976446233400,-3.827574327396720
Greenbul and Greenbul,IV19 1HW,57.813677846402900,-4.060053990601610
Egret and Badger,IV20 1TQ,57.775553351810500,-3.965793345550120
Viscacha and White ibis,IV11 8YE,57.681803056107600,-4.036075367352320
Parakeet and Guillemot,IV19 1PD,57.810630448969200,-4.023335271171220
Thrasher and Fulmarine petrel,IV18 0PU,57.741607745955200,-4.073543216381810
Grouse and Darwin's finches,IV25 3LL,57.882003932993100,-4.024391782917760
Mamo and Asiatic leopard,IV19 1BG,57.809969000000000,-4.052337000000000
Wader and Perching duck,IV19 1AB,57.811835539703500,-4.055100750975440
Tattler and Night heron,IV25 3RZ,57.878832000000000,-4.029091000000000
Parrotlet and Argus,IV20 1UF,57.755803884000400,-3.910718901936900
Parrotbill and Treepie,IV20 1UY,57.759828134039200,-3.902409226264280
American sparrow and Jerboa,IV25 3LS,57.878251000000000,-4.028127000000000
Vulture and Black jay,IV20 1UX,57.750008457638800,-3.920260420058040
Civet and Jackal,IV19 1BT,57.808975705485800,-4.052497311266090
New World blackbird and Pratincole,IV11 8XN,57.680595549011500,-4.030707425682160
Flameback and Songlark,IV20 1US,57.775389732022900,-3.963598312751910
Kangaroo and Cuscus,IV19 1NJ,57.805989641976700,-4.058235352240800
Towhee and Viscacha,IV18 0NY,57.749010511662700,-4.071933849579920
Partridge and Piping shrike,IV25 3RS,57.878632000000000,-4.040241000000000
Linsang and Myna,IV18 0NH,57.739512055414000,-4.074229635061400
Stint and Mole,IV20 1RG,57.817987049125000,-3.847455979653320
Bronzewing pigeon and Diving bird,IV20 1RQ,57.836817526157900,-3.825747307787350
Black cockatoo and Bronzewing pigeon,IV11 8XZ,57.677562000000000,-4.041640000000000
Chickadee and Hawk,IV18 0PD,57.764857727109700,-4.094982846964630
Capuchin and Kite,IV18 0NF,57.735903845086400,-4.075652460543170
Old World warbler and Boto,IV19 1RE,57.812123621350200,-4.062810273871130
Jerboa and Rabbit,IV19 1LW,57.806898646410300,-4.068920000000000
Old World quail and Linsang,IV19 1DL,57.804887745173100,-4.058037922705800
Grackle and Mink,IV19 1AF,57.811220556281800,-4.054240911453390
Kangaroo and Armadillo,IV11 8YS,57.680602032496200,-4.037567870272370
Masked owl and Snipe,IV20 1RD,57.844155453892100,-3.800745811153120
Coati and Mole,IV19 1QP,57.725844489174200,-4.002359117746050
Solitaire and Night heron,IV25 3PG,57.882777395172000,-4.028280901292850
Elephant and Tit-tyrant,IV25 3HP,57.883997042459400,-4.039633920957540
Zebra and B,IV19 1HU,57.814480363500300,-4.058769802613370
Perching duck and Myna,IV19 1QW,57.735302071159200,-3.996868234674380
Lemming and Prion,IV19 1PU,57.801942000000000,-4.066162255669210
Marmoset and Kestrel,IV19 1PL,57.802349309837200,-4.067166334663390
Ground sloth and Myna,IV19 1LZ,57.797421571510900,-4.034105242608450
Dolphin and Capuchin,IV19 1NZ,57.813682023313500,-4.058690617493160
Zebra and Pitohui,IV19 1BN,57.808856832711900,-4.048181456965500
Perching duck and Coati,IV19 1NN,57.805507503084800,-4.060261249478290
Kangaroo and Darwin's finches,IV25 3LA,57.880233382880500,-4.025557191913040
Peafowl and Diving bird,IV19 1NG,57.790979935956200,-4.087680881827590
Hawk and Eagle,IV25 3TD,57.880950213559600,-4.038955000000000
