name,postcode,lat,lon
Black cockatoo and Goose,CH7 1AZ,53.167181761877800,-3.142116568437870
New World blackbird and Vole,LL12 7EH,53.052652263499100,-2.979180612673060
Tree warbler and Kestrel,LL13 7TR,53.044227746502900,-3.003079373503520
Towhee and Darwin's finches,LL11 1LE,53.047407016209600,-2.997022174389300
New World blackbird and Nukupuʻu,CH7 1NL,53.165028580420600,-3.141670468851500
Quetzal and Tit-tyrant,CH5 3UD,53.185447469043300,-3.056641000000000
Wader and Meadowlark,LL11 4TB,53.077620323293200,-3.032875273340250
Jay and Polecat,LL11 6HA,53.071328698140500,-3.031724656197600
Tahr and Buzzard,LL13 7GT,53.036912000000000,-3.009128000000000
Solitaire and Rat,CH7 1UQ,53.166355239996700,-3.129813469175110
Viscacha and Polecat,LL11 5DB,53.078766821537800,-3.055877307751950
Francolin and Dolphin,LL20 7RT,52.959946010022700,-3.092326665160120
Recurvebill and Old World quail,LL15 9AQ,53.115065531504900,-3.310898634685500
Fox and Badger,LL11 0JJ,53.048897455998000,-3.000085302217410
Hawk and Lemming,CH7 4LJ,53.113941097717600,-3.110360519627190
Piping shrike and Grackle,CH7 1SR,53.167643651922100,-3.146437093640220
Chicken and Jackal,CH7 6RF,53.180132313337400,-3.115900355995600
Vulture and Duck,CH7 4HE,53.155542280747100,-3.127779743425320
Scimitar babbler and Quetzal,LL12 8YN,53.084843116985300,-2.959352285317680
Elephant and Perching duck,LL20 7RE,52.964043922230300,-3.086593594369910
Booted eagles and Maya,LL11 5RS,53.058141349487000,-3.039959287621960
Old World quail and Fulmarine petrel,LL20 7YS,52.971456610014900,-3.089951406418850
Asiatic leopard and Minke whale,LL11 3RL,53.050759537746800,-3.066515620054830
Tit-tyrant and Darwin's finches,LL15 1BU,53.112606078588100,-3.305654439183170
Coati and Tahr,LL11 3YF,53.058913417055500,-3.087427000000000
Zebra and Mole,LL12 9AP,53.110739476038900,-3.033668951697920
Grackle and Parrotbill,LL12 7EA,53.051096545250700,-2.981427884666980
Elephant and Treepie,LL11 4DL,53.078514317791500,-3.005115416947700
White ibis and Ibex,LL21 9HS,52.974165721260800,-3.263917701540250
Kangaroo and Scimitar babbler,CH4 7HG,53.179736126060300,-2.886024757168290
Boto and Ice seal,LL12 0HJ,53.108303224252800,-2.946146100743950
Fox and Buzzard,CH4 9GB,53.162453573047200,-2.898726225737840
Nukupuʻu and Mamo,LL13 0LJ,52.966698000000000,-2.927342000000000
Chickadee and Chickadee,LL15 2UT,53.110210000000000,-3.285563000000000
Chicken and Mink,LL15 1QH,53.118896000000000,-3.319876000000000
Flameback and Jackal,LL13 0NJ,53.037222843384900,-2.979606421834600
Nukupuʻu and Logrunners,LL14 2AB,53.007394590391900,-3.044163672737800
Civet and Grouse,LL13 9HG,53.046653609635800,-2.970735807893270
Old World warbler and Masked owl,CH7 2BQ,53.164762939534700,-3.077567633387370
Parakeet and Perching duck,LL11 6RD,53.060458000000000,-3.036299000000000
Partridge and Civet,LL11 4AY,53.076724311868000,-3.010358000000000
Maya and Piping shrike,LL12 9SW,53.090132926005800,-3.029845070720030
Jerboa and Quetzal,LL12 0NH,53.089358864915200,-2.992944845034350
Partridge and Old World quail,CH4 0DN,53.166579619099400,-2.970867931203240
Stilt and Zebra,CH4 7PL,53.169905289234800,-2.909428560270980
B and Armadillo,LL11 4NA,53.075000478159600,-3.016631768466600
Solitaire and Coati,LL12 0GD,53.108343752178100,-2.951211100369380
Booted eagles and American sparrow,LL11 5RA,53.058572370753300,-3.038984866507510
Old World warbler and River dolphin,LL11 3PD,53.057303559706100,-3.070556689336010
Diving bird and Maya,LL12 9RJ,53.118773558900600,-3.044246484001380
Kestrel and Fox,CH5 3LQ,53.187509379759100,-3.046948758205170
Rabbit and Stint,LL11 6PN,53.055158873586200,-3.044855843065590
Civet and Masked owl,LL21 9HY,52.984156238068700,-3.343962520884440
Linsang and Kestrel,LL11 4SS,53.075741416744900,-3.030815122584520
Marmoset and Bronzewing pigeon,LL14 3AT,52.971529765316900,-3.073021816454550
Parrotlet and New World blackbird,LL20 7DJ,52.977739957579000,-3.105568992950840
Civet and Pratincole,LL14 2HS,53.004041709778500,-3.052293998460580
Linsang and Badger,LL13 0TN,53.015464257656400,-2.930876684430420
Kākāriki and Chicken,CH7 6UN,53.171135323081100,-3.109981888563660
Booted eagles and Kite,CH4 7PN,53.168627039001600,-2.910837614667340
Moluccan boobook and Prion,LL20 7UN,52.965872000000000,-3.108735000000000
Tree warbler and Darwin's finches,LL13 9XH,53.079642386623500,-2.884579663397940
Jackal and Elephant,LL11 2AF,53.051919835312700,-3.006870000000000
Kite and Tit-tyrant,CH7 2QB,53.165027931383800,-3.090917016250800
Jay and Pheasant,LL11 1LA,53.048803121216100,-2.995622291489080
Marmoset and Old World warbler,LL15 2PA,53.083048000000000,-3.313897000000000
Vulture and Viscacha,LL14 3HT,52.982661131095200,-3.067786490590090
Peafowl and Rabbit,LL13 0EJ,52.968518210152100,-2.934676951117130
Thrasher and Recurvebill,LL12 7LF,53.057627851484200,-2.990588552435010
Tree warbler and Crow,CH4 0RF,53.167988963938600,-2.985335303710930
Wallaby and Wader,LL11 3YD,53.058983692534700,-3.085534732896770
Pheasant and Jay,LL13 9SY,53.083362469331800,-2.909812439162530
Thicketbird and Masked owl,CH4 8AZ,53.183621000000000,-2.907504000000000
Ice seal and Thicketbird,CH1 1AG,53.187754000000000,-2.887104000000000
Rat and Ice seal,LL14 2PN,53.003341435786300,-3.063186000000000
Eagle and Stint,LL14 4EF,53.030126748356500,-3.025849838271940
Black cockatoo and Mink,LL13 9XJ,53.079904258454400,-2.884420820166240
Thicketbird and Chicken,LL13 0AF,53.002081816172500,-2.911946761532120
Black jay and Booted eagles,CH4 0FP,53.147153002080700,-3.048000555525890
Elephant and Old World warbler,LL12 8JF,53.069789011815500,-2.988613990242780
Partridge and Asiatic leopard,CH4 9JT,53.154813000000000,-2.926935000000000
Tattler and Petrel,LL14 6BP,52.992916161301600,-3.033444867550920
Egret and Mink,LL14 3QA,52.977962917032600,-3.076383337311640
Ground sloth and Mockingbird,LL14 3HF,52.981722768306200,-3.060137208469830
Myna and Magpie,CH7 4QE,53.097702596366500,-3.211857000000000
Francolin and Mockingbird,LL11 2NG,53.054551484692500,-2.998350880424780
Solitaire and Fox,LL11 6LQ,53.062701374168700,-3.031428906622190
Grouse and Polecat,CH5 3NL,53.184045136886200,-3.023549230684690
Fox and Kangaroo,LL11 3TN,53.049939430422000,-3.070747088924000
Recurvebill and Francolin,LL11 2HZ,53.060490823308500,-2.999741666071410
Puffleg and Chicken,LL11 3RU,53.051831508477200,-3.069272266937540
Viscacha and Piping shrike,LL12 7PW,53.066358784766600,-2.977282807917300
Duck and Old World vulture,CH7 9ZZ,53.176474334724000,-3.136737619371230
Lemming and Night heron,CH7 1JY,53.161391063204500,-3.136638089591890
Old World warbler and Philippine hawk-owl,LL21 9ND,53.019711205071600,-3.282914999949470
Cuscus and Chipmunk,LL12 7DF,53.051689230049400,-2.983679176802350
Masked owl and Chipmunk,CH7 4QQ,53.095549632960300,-3.217771715232550
Prion and Pitohui,CH7 2NZ,53.167746000000000,-3.100425000000000
Scimitar babbler and Parakeet,CH4 8QR,53.172193297142600,-2.932067334154520
Chicken and Thicketbird,LL11 3RW,53.049084532938300,-3.067846714195510
Snipe and Fox,CH7 4EY,53.139245397980100,-3.137129600146180
Black jay and Polecat,LL12 9BB,53.106075982541200,-3.033437597729640
Boto and Tahr,LL13 0DE,52.978977000000000,-2.970260000000000
Armadillo and Marmoset,LL14 1PH,53.010244462963000,-3.044143048212050
Polecat and Puffleg,LL11 2HD,53.060851000000000,-3.000910763706390
Meadowlark and Tattler,LL15 1YB,53.129240809932100,-3.275444501299070
Hawk and Fulmarine petrel,CH1 1RA,53.186072052127500,-2.889836854947420
Prion and Armadillo,LL14 2LR,53.014909282197900,-3.061487268477570
Mouse and Boto,LL14 3HS,52.982232000000000,-3.068553766950440
Asiatic leopard and Old World vulture,LL13 0TG,53.014871597891300,-2.934232693822330
Vulture and Elephant,LL15 1AY,53.152615000000000,-3.312326000000000
Solitaire and Pheasant,LL13 9NX,53.043154327463900,-2.969926292698690
Rat and Triller,LL12 7AG,53.048265000000000,-2.988032000000000
Rabbit and Coati,LL11 2JB,53.052189998998300,-3.001936915924940
Night heron and Greenbul,LL12 8LN,53.087278876992600,-2.956046970890460
Jackal and B,LL13 0EZ,52.968570536963700,-2.932593463780110
Polecat and Treepie,CH7 6LR,53.184642731307800,-3.138929068552630
Thicketbird and Zebra,CH7 1TT,53.165376809801800,-3.156817661091670
