name,postcode,lat,lon
Mink and Mink,PH15 2DX,56.611936000000000,-3.865357000000000
Tit-tyrant and Darwin's finches,PH18 5TP,56.775025655624700,-3.839811382315300
Thrasher and Partridge,PH16 5LD,56.720757000000000,-3.773883000000000
Black jay and Jerboa,PH9 0PJ,56.658231491572200,-3.782446523452840
White ibis and Tattler,PH16 5DZ,56.699248188738000,-3.732534000000000
Skunk and Hawaiian honeycreeper,PH16 5QB,56.691508538644300,-4.189037138850980
Capuchin and Dolphin,PH16 5QF,56.693794000000000,-4.115014468477100
Greenbul and Partridge,PH9 0LU,56.651972904194100,-3.805836448738360
Jerboa and Armadillo,PH9 0PA,56.656816171999900,-3.635537234881110
Old World warbler and Parakeet,PH16 5QW,56.705584190002200,-3.745265000000000
Fulmarine petrel and Maya,PH18 5SX,56.766506000000000,-3.836237000000000
Tattler and Guillemot,PH16 5RA,56.718810000000000,-3.727024000000000
Jackal and Kangaroo,PH16 5AP,56.702407992010900,-3.739567805292670
Buzzard and Bronzewing pigeon,PH16 5DF,56.699539979784300,-3.734535673199280
Tahr and Kite,PH15 2JT,56.640397886422500,-3.829939787853440
Duck and Cloud rat,PH15 2EU,56.614134033971400,-3.884042930971610
Grosbeak and Logrunners,PH9 0LN,56.655257547410300,-3.719841796822650
Dorcopsis and Magpie,PH16 5SQ,56.696387521405200,-3.727972465721310
Siskin and Thicketbird,PH16 5DJ,56.699912571399300,-3.727121421640630
Towhee and Jackal,PH16 5AY,56.704307087367300,-3.735656000000000
Fox and Mink,PH15 2JF,56.622236269981500,-3.928211619774930
Songlark and Grackle,PH16 5BB,56.707898543906800,-3.732437280522510
Recurvebill and Diving bird,PH15 2BY,56.617788839517000,-3.874087818890040
Thrasher and Kite,PH16 5DQ,56.702088787341800,-3.728936172844920
B and Old World warbler,PH16 5PW,56.700567411557000,-4.188647000000000
Ground sloth and Towhee,PH16 5BH,56.703522688187900,-3.734375934720550
Parakeet and Stilt,PH15 2FB,56.620251567000000,-3.861872249100000
Hawk and Rabbit,PH15 2HJ,56.586303000000000,-3.996486000000000
Egret and Guillemot,PH16 5LW,56.751139428610000,-3.798147412617840
Hawaiian honeycreeper and American sparrow,PH16 5DN,56.700810381855800,-3.721331639684990
Puffleg and Towhee,PH16 5NW,56.704193000000000,-3.727591643467810
Shearwater and Quetzal,PH9 0NB,56.673618185919400,-3.683417127983130
Greenbul and Guillemot,PH16 9AE,56.696868602700000,-3.715681165900000
New World blackbird and Shearwater,PH16 9AL,56.696835000000000,-3.715761000000000
Marmoset and Linsang,PH9 0PP,56.657531998393300,-3.774174646297940
Wader and Prion,PH15 2DW,56.618045423469200,-3.863588426720600
Old World warbler and Philippine hawk-owl,PH9 0LP,56.656117548987100,-3.802576091447440
Stilt and Kākāriki,PH16 5QL,56.704999584106800,-3.743150438522330
Scimitar babbler and Ice seal,PH15 2AS,56.620677000000000,-3.865446000000000
Mole and Partridge,PH16 5DY,56.699678338724900,-3.725869410498760
Macaw and Francolin,PH18 5UL,56.800274815413500,-4.044108577725780
Meadowlark and Old World vulture,PH15 2JW,56.625278547371400,-3.861648000000000
Warbler and Peafowl,PH16 5NE,56.701084844581600,-3.749355717598640
Stint and River dolphin,PH8 0HP,56.629145371802100,-3.553939749773500
Buzzard and New World blackbird,PH9 0NX,56.624330906967400,-3.630350050351500
Macaw and Partridge,PH16 5AS,56.705201804833600,-3.738324612469380
Prion and Old World quail,PH18 5TH,56.773397310134800,-3.857520519645200
Scimitar babbler and Duck,PH16 5AQ,56.704562925051100,-3.737102706591270
