name,postcode,lat,lon
Argus and Skunk,SA43 2TD,52.056188159414500,-4.643058690272850
Moluccan boobook and New World blackbird,SA33 6ND,51.886389744083800,-4.367452338456680
Masked owl and Mockingbird,SA44 5XN,52.013223409222000,-4.422179155636850
Kite and Meadowlark,SA34 0BB,51.823627879500500,-4.616500085397530
Chicken and Greenbul,SA44 5BS,52.039640670543700,-4.345025081086810
Piping shrike and Civet,SA17 4HX,51.732601090900000,-4.225439337200000
Black jay and Magpie,SA15 5UN,51.749857607921700,-4.201164918063460
Dolphin and Tahr,SA33 6BP,51.932970110707900,-4.304121691639040
Partridge and Tattler,SA31 2PQ,51.852779000000000,-4.291999000000000
Viscacha and Lemming,SA33 4NZ,51.745490000000000,-4.549713000000000
Grackle and Ice seal,SA31 1NT,51.861954806503500,-4.294970449429670
Flameback and Badger,SA31 2BH,51.869787000000000,-4.285368000000000
Thrasher and Chickadee,SA33 5PD,51.882189033711000,-4.468106175768060
Peafowl and Hawk,SA31 2EW,51.863702117108100,-4.293447167964490
Old World warbler and Solitaire,SA33 4BZ,51.827002485857900,-4.493112175942690
Triller and Petrel,SA33 6PA,51.908872000000000,-4.411774000000000
Tit-tyrant and Jackal,SA37 0JY,52.001894431416200,-4.566393473812510
Zebra and Darwin's finches,SA33 4SF,51.770802000000000,-4.460500000000000
Tree warbler and Myna,SA34 0HL,51.819885723447600,-4.604804557178760
New World blackbird and Chickadee,SA31 3DS,51.858616210663900,-4.315728380982680
Lemming and Greenbul,SA34 0SB,51.880524360312400,-4.630746193155690
Masked owl and Argus,SA68 0TZ,51.732746717883100,-4.709502047013500
Buzzard and Old World vulture,SA31 3HJ,51.852974000000000,-4.326446000000000
Minke whale and Stint,SA32 7DP,51.900820909067200,-4.272268193683630
Warbler and Minke whale,SA15 1TS,51.679064237662600,-4.160176919928250
Gull and Rat,SA15 4SL,51.682880958265200,-4.176456000000000
Duck and Parakeet,SA35 0DW,51.993400455979000,-4.574021552942630
Badger and American sparrow,SA17 5DE,51.790157374857700,-4.206708969668420
Wader and Thrasher,SA32 7BB,51.913582243517700,-4.166401860141830
Elephant and Old World warbler,SA70 7EH,51.670412212927700,-4.705243210912270
Pitohui and Coati,SA15 3JS,51.688348397370300,-4.158506679743420
Solitaire and Buzzard,SA70 7BH,51.671011000000000,-4.697237000000000
American sparrow and Maya,SA33 6JE,51.898624095464400,-4.310256309076190
Thicketbird and Towhee,SA31 2PE,51.850882067696400,-4.300636218518940
Shearwater and Logrunners,SA17 4RH,51.749932201724000,-4.278839265983270
Rat and Boto,SA15 5UF,51.751207000000000,-4.212213000000000
Warbler and Vulture,SA33 4LQ,51.852720286655900,-4.502942179339990
Perching duck and Prion,SA33 4UB,51.748623934025100,-4.541572929598190
Flameback and Warbler,SA70 7JX,51.672329542964600,-4.704388403313310
Chipmunk and Stint,SA43 2SL,52.054600878512700,-4.631615789003960
Wallaby and Partridge,SA39 9DJ,52.051540834553200,-4.210964463628730
Partridge and Greenbul,SA38 9BE,52.036911339333900,-4.471447150618290
Mamo and Scimitar babbler,SA15 3AS,51.683109806206400,-4.161962000000000
Asiatic leopard and Kangaroo,SA17 5HF,51.814402000000000,-4.261170000000000
Cuscus and Crow,SA40 9SB,52.050731936651100,-4.158097044921030
Armadillo and Old World quail,SA15 5BL,51.799543000900100,-4.176332000000000
Songlark and Philippine hawk-owl,SA32 7DZ,51.949300000000000,-4.266764000000000
Mamo and Rabbit,SA33 5QF,51.860151647068900,-4.487538029049140
Old World quail and Tattler,SA15 4HE,51.693598920257000,-4.164920758957630
Argus and Greenbul,SA44 4AP,52.036373155502700,-4.317937762377380
Linsang and Ibex,SA38 9JB,52.025767704224400,-4.462085769587320
Jackal and White ibis,SA16 0DZ,51.688479496741200,-4.286632000000000
Tit-tyrant and Pratincole,SA31 2NP,51.851226621733700,-4.295890981862630
Marmoset and Macaw,SA15 5EJ,51.727431650680600,-4.205389375390050
Booted eagles and White ibis,SA31 1TP,51.862452858264100,-4.310406208855500
