name,postcode,lat,lon
Wallaby and American sparrow,M11 3FF,53.484206000000000,-2.202812000000000
Skunk and Tahr,M24 2QU,53.541074440849700,-2.174519466054800
Flameback and Buzzard,M40 3RH,53.518470570956300,-2.160355206472130
Quetzal and Snipe,M12 4NB,53.459647019200100,-2.198387668759100
Jay and Civet,M18 7GH,53.457711881357900,-2.177204052301990
Skunk and River dolphin,SK1 1XB,53.412572000000000,-2.158828000000000
Bunting and Piping shrike,SK2 6TB,53.394163000000000,-2.136849000000000
Peafowl and Tit-tyrant,M19 1NY,53.425317506956900,-2.210281620781510
Recurvebill and Meadowlark,SK8 5PY,53.383269357663100,-2.182787640074690
Quetzal and Warbler,SK5 8NB,53.428862466869800,-2.140723180442850
Tahr and Black cockatoo,OL9 9SA,53.549917409800000,-2.162904203078840
Coati and Tree warbler,M9 5GR,53.506821647042100,-2.212177977912320
Mamo and Magpie,SK13 7DU,53.446701466890800,-1.963555174628640
Scimitar babbler and Marsh harrier,OL6 6UR,53.486247002743300,-2.080270700581560
B and Thicketbird,OL4 1BP,53.537747490733400,-2.096437679161920
Jerboa and Meadowlark,M12 6HU,53.473856177702800,-2.219832502656880
Grosbeak and Warbler,OL6 8DT,53.501238784806700,-2.081595606897170
Eagle and Philippine hawk-owl,SK8 3SD,53.393134000000000,-2.217761000000000
Coati and Dolphin,M12 6BZ,53.470987000000000,-2.221460000000000
Lemming and Diving bird,OL1 4EN,53.547352257455700,-2.089758747120720
Pratincole and Peafowl,SK5 6FY,53.439508000000000,-2.165836000000000
Minke whale and Grouse,M24 1RA,53.535736598811000,-2.196842561915390
Songlark and Puffleg,M43 6JS,53.487540911159100,-2.167291435160570
Grosbeak and Jackal,M20 4SZ,53.429426446312100,-2.214666472806450
Towhee and Condor,SK2 5LE,53.396149365488500,-2.119486083847510
Viscacha and Cloud rat,SK15 1EG,53.492462075264900,-2.057734092428750
Chickadee and Myna,SK7 4LZ,53.383553448956900,-2.113271780040880
Fox and Hawk,M40 1PR,53.493968316219600,-2.173119873880040
Fox and Flameback,OL3 6LD,53.543907608233700,-2.002859098288330
Tattler and Treepie,OL3 6EN,53.548707420511900,-1.999629673413790
Mockingbird and Tattler,M19 1EL,53.431875636398300,-2.201900503300000
Parakeet and Quetzal,M12 5HL,53.467349891850300,-2.193060998090880
Diving bird and Stint,M24 1RX,53.534210272371500,-2.178610028122380
Guillemot and River dolphin,SK4 2PE,53.419848844428000,-2.173420090705140
White ibis and Kākāriki,M20 6HL,53.416049501774100,-2.225491924023660
Tattler and Ice seal,OL4 3AY,53.538118734352500,-2.080670874879480
Coati and Scimitar babbler,OL8 1QD,53.530315316954900,-2.115338452982480
Tahr and Wader,SK14 2JR,53.456717134164100,-2.070501255755950
