name,postcode,lat,lon
Tree warbler and Old World quail,SO50 9QD,50.969186850859100,-1.359698513684120
Zebra and Nukupuʻu,SO21 1SB,50.997641588376200,-1.321002321700560
Zebra and Capuchin,SO53 4QG,50.980945418021300,-1.395163714446880
Magpie and Triller,SO53 4RH,50.979555648929400,-1.397688825322170
Kākāriki and Black jay,SO22 6QD,51.088885235789000,-1.344569000000000
Wallaby and Badger,SO24 9TH,51.133540489056400,-1.193341598783770
Gull and Linsang,SO50 4DA,50.972121841566900,-1.349574378073220
Puffleg and Night heron,SO21 2BA,51.028263366604400,-1.330850644535860
Grackle and Buzzard,SO50 6DN,50.975602000000000,-1.336510839062570
Marmoset and Egret,SO22 5DU,51.064149036592400,-1.335128545123220
Night heron and Magpie,SO22 5LW,51.072595335542600,-1.340345765589640
B and Thicketbird,SO21 1BZ,51.090550104262800,-1.226859476411040
Mouse and Recurvebill,SO23 7TS,51.067572745721200,-1.313372000000000
Eagle and Quetzal,SO51 7NU,50.997729847886400,-1.470243782357790
White ibis and Eagle,SO50 0HR,50.977648000000000,-1.366490000000000
Dolphin and Puffleg,SO53 1JT,50.996833389269900,-1.387960548161530
Parakeet and Linsang,SO50 6BB,50.973003898009700,-1.335333606018170
Civet and Grackle,SO23 7AQ,51.072908011763000,-1.314963296276690
Elephant and Elephant,SO23 7PD,51.104354000000000,-1.302601000000000
Crow and Rabbit,SO52 9PP,50.976054606784500,-1.438627445278340
Pheasant and Skunk,SO23 0HD,51.064395808982500,-1.304885309404260
Elephant and Elephant,SO53 3GL,50.972025153007600,-1.388286529062680
Fulmarine petrel and Snipe,SO50 7HG,50.986710023902800,-1.306230991280950
Herring gull and Recurvebill,SO23 7FR,51.101224677272200,-1.305247558538130
Triller and Egret,SO50 4LE,50.981723108490000,-1.350722369537060
Fish eagle and Minke whale,SO22 6LH,51.081764234409800,-1.334690000000000
Perching duck and Condor,SO32 1FU,50.971331613126900,-1.201779553156430
Pratincole and Duck,SO23 7TF,51.096330879258200,-1.294967295140700
Condor and Ice seal,SO53 2NS,50.990257289444500,-1.362116000000000
Rabbit and Elephant,SO53 3PY,50.972171430281100,-1.393924605422760
Stint and Boto,SO50 6GY,50.969110624733800,-1.332256017833870
Hawaiian honeycreeper and Kite,SO53 2JJ,50.982311531678700,-1.369504028303990
Myna and Vulture,SO21 1EE,51.087512787242200,-1.264832210675510
Puffleg and White ibis,SO50 9PW,50.971187500860400,-1.359499950070680
Fish eagle and Prion,SO22 6PT,51.084688000000000,-1.346199000000000
Boto and Guillemot,SO52 9ES,50.975626564801500,-1.441253398168780
Wallaby and Rat,SO53 4BT,50.977901000000000,-1.390531000000000
Buzzard and Minke whale,SO21 3DJ,51.148364786521400,-1.260820981687270
Darwin's finches and Mamo,SO53 4LS,50.978624915134700,-1.407358554534920
Scimitar babbler and Petrel,SO22 6SF,51.068279779988200,-1.321610956801890
Stilt and Macaw,SO32 1FT,50.970113712448600,-1.207810505877770
Bunting and Tahr,SO24 9UA,51.139305152171500,-1.211909014007850
Hawaiian honeycreeper and Solitaire,SO22 6RE,51.079512264990100,-1.328041994033060
Ground sloth and Mockingbird,SO20 6QN,51.048766991152400,-1.481602595320350
Badger and Tattler,SO21 1UW,50.993762277464800,-1.312694708205340
Booted eagles and Mockingbird,SO23 7AU,51.073254617666000,-1.315800315487550
Bunting and Scimitar babbler,SO20 6AA,51.153767807289500,-1.444238757678630
Jackal and Boto,SO53 3ED,50.977793844733400,-1.380618642709230
Masked owl and Viscacha,SO53 3GQ,50.972431609818200,-1.386913912095860
Meadowlark and Kestrel,SO50 9ER,50.972481946337400,-1.367671605832690
Warbler and Coati,SO53 2HJ,50.985409129414100,-1.376998472528990
Chipmunk and Flameback,SO52 9AH,50.980871720118200,-1.445577950439970
Fulmarine petrel and Rat,SO51 7TW,51.000638749537500,-1.473203402204900
Old World vulture and Black cockatoo,SO32 1HL,50.986036445254400,-1.219407165736110
Rabbit and American sparrow,SO22 5SN,51.053918000000000,-1.347973000000000
Fulmarine petrel and Old World vulture,SO53 3US,50.977648000000000,-1.366490000000000
Night heron and Tahr,SO53 5SP,51.001481535233300,-1.370854750243280
Fulmarine petrel and Eagle,SO21 1DX,51.094235255237400,-1.272865231899300
River dolphin and Peafowl,SO22 5GB,51.061737189010100,-1.337959982403900
Solitaire and Goose,SO21 1NG,50.998917353063500,-1.314642171108860
Black cockatoo and Elephant,SO51 7TS,50.999952213129200,-1.474508002656890
Grouse and Coati,SO23 7AH,51.072653657756700,-1.314524578338110
Fish eagle and Skunk,SO50 4JP,50.979717476356500,-1.355536565945790
Kākāriki and Black cockatoo,SO53 1LD,50.994322627250200,-1.385884679287700
Darwin's finches and River dolphin,SO50 6EF,50.977056980143300,-1.331743269958340
Vole and Cuscus,SP11 7JR,51.165592708239900,-1.434914920136530
Mole and Grackle,SO53 5EJ,50.999177094774700,-1.387515000000000
Tattler and Black cockatoo,SO23 8TH,51.066038961412000,-1.318218600332920
Ibex and Logrunners,SO52 9LX,50.977367031019100,-1.447969922558530
Coati and Old World vulture,SO53 3TL,50.970090295863600,-1.391588000000000
Grosbeak and Partridge,SO50 5GD,50.969864164441300,-1.362523147894060
Cuscus and Old World warbler,SO21 3RP,51.167314339211600,-1.380644769846060
Triller and Flameback,SO53 2HD,50.983273574420600,-1.377867546959200
Ice seal and Kite,SO23 7BJ,51.071520145332100,-1.314441406925670
Greenbul and Tree warbler,SO53 1TZ,50.989258717427800,-1.372117006094160
Mink and Chicken,SO53 5AT,51.000260000000000,-1.377563492406020
Maya and Old World vulture,SO23 7LX,51.106033830571500,-1.305546709273010
Bronzewing pigeon and Ibex,SO51 5BF,50.985259000000000,-1.463965000000000
Grouse and Jerboa,SO50 7EF,50.969312000000000,-1.289842000000000
Towhee and Buzzard,SO50 4JR,50.977718411272400,-1.355037194188770
Piping shrike and Parrotlet,SO22 6FH,51.075010588226700,-1.323354084717410
Old World warbler and Siskin,SO21 3FF,51.167233159879300,-1.374853537919880
Greenbul and Puffleg,SO53 5PJ,51.002439115835400,-1.392076819516580
Pheasant and Thicketbird,SO23 3RH,51.067557000000000,-1.297333000000000
