name,postcode,lat,lon
Cuscus and Grackle,CH3 5SX,53.185840319495100,-2.863927270523860
Ice seal and Pheasant,CW8 2YQ,53.240924206595400,-2.593746202075130
Peafowl and Ice seal,CH66 2JP,53.265051808685800,-2.916949097960630
Logrunners and Parrotbill,CW8 3DW,53.258867024892400,-2.580788211896090
Wallaby and Jay,CH1 9US,53.191563100598400,-2.893183872396250
Rabbit and Hawk,L25 0PR,53.356757937854600,-2.857704958397530
Argus and American sparrow,WA7 4NU,53.333911076258800,-2.734708416895350
Hawaiian honeycreeper and Moluccan boobook,WA6 0EA,53.261844691558200,-2.772030643924460
Mole and Siskin,CH66 2YN,53.258288123218400,-2.924434573537870
Old World vulture and Recurvebill,L19 3PW,53.367137189334800,-2.913805190244720
Myna and Meadowlark,CH2 2LX,53.207266323168400,-2.865633000000000
Pitohui and Warbler,CH1 4EQ,53.196532152104100,-2.904169628737320
Pheasant and Dolphin,WA4 4AG,53.337994730938200,-2.625445890136450
Polecat and New World blackbird,WA8 6AX,53.366525317468700,-2.728566000000000
Parrotbill and Recurvebill,CW8 2XL,53.242244982211000,-2.622055468540350
Boto and Pheasant,CH1 4AR,53.200050301238000,-2.898210326123350
Triller and Chipmunk,WA8 3JP,53.377641073597600,-2.708057412332460
Petrel and Rat,L17 0AZ,53.371700129419300,-2.928226792122130
Goose and American sparrow,CH1 2LS,53.190460165341300,-2.896842413495490
Logrunners and Crow,WA8 8WL,53.353416092040100,-2.763468787423200
Booted eagles and Shearwater,CH1 1HJ,53.191639220681700,-2.880986776102240
Greenbul and Tahr,WA7 6HY,53.325025089432300,-2.663480872846090
Maya and Boto,CH1 4BH,53.200997074781200,-2.904951890746470
Pitohui and Warbler,CW7 4FN,53.184351000000000,-2.525818000000000
Pratincole and Ice seal,L25 9NR,53.371551093372500,-2.854304770580480
Polecat and River dolphin,L26 7WN,53.369281191232800,-2.839770996338690
Peafowl and Marsh harrier,CH2 4BT,53.241078303658500,-2.870134342335540
Chicken and Stint,L19 9BU,53.367154658038200,-2.911521197275670
Prion and Nukupuʻu,CH2 3LY,53.205107252015000,-2.860873000000000
