name,postcode,lat,lon
Rabbit and Fulmarine petrel,WV12 5AA,52.610204021497500,-2.051112289053350
Prion and White ibis,WS10 9LX,52.560867589030600,-2.024428788595510
Parrotlet and Kite,WS10 9PR,52.560904886791300,-2.016846707018560
Quetzal and Eagle,WV12 4DD,52.594549221025900,-2.036671043471980
Tree warbler and Pitohui,WV6 7SW,52.591070241303000,-2.204208977169230
Moluccan boobook and Pheasant,WV6 7BJ,52.586083012472800,-2.270382828439510
Kangaroo and Flameback,WV1 2ED,52.582295000000000,-2.090573843528120
Treepie and Night heron,ST19 9LJ,52.698916000000000,-2.173327000000000
Magpie and Mole,WV12 5SG,52.605577189980800,-2.043930512674950
Chipmunk and Hawaiian honeycreeper,WV13 3EL,52.577475267109500,-2.063336869072900
Grouse and Recurvebill,WV3 8LN,52.576981831481000,-2.177345000000000
Thrasher and Darwin's finches,DY3 3SD,52.539922601281900,-2.122966880446150
Fulmarine petrel and Solitaire,WS11 6NB,52.696398100742600,-2.017003213571480
Ibex and Ground sloth,WS11 1ER,52.687105419857400,-2.042311502980810
Rabbit and Macaw,WV2 2PN,52.565748000000000,-2.094442000000000
Petrel and Mamo,WS3 2RR,52.624083964043700,-2.023489371412560
Mockingbird and Capuchin,WV4 4BJ,52.567130957759900,-2.156680586155760
Towhee and Dorcopsis,WV14 9BE,52.549492393325900,-2.109160666330800
Kangaroo and Magpie,WV6 0FA,52.600558000000000,-2.133398000000000
Eagle and Siskin,WV1 1RB,52.587139083658300,-2.129637946122910
Linsang and Jackal,ST19 9BD,52.677189537012300,-2.177840347591440
Nukupuʻu and New World blackbird,TF11 8TR,52.675071607498500,-2.367553260925070
Scimitar babbler and Bronzewing pigeon,WV6 8ND,52.591907956875000,-2.181110968431300
Hawk and Old World warbler,WV5 0HJ,52.529738000000000,-2.190746000000000
Rabbit and White ibis,WV10 8DB,52.615848309108900,-2.106800420505830
Meadowlark and Old World quail,WV11 3DA,52.607476717197200,-2.074411135031680
Old World vulture and Greenbul,WV9 5HB,52.627907603978700,-2.152332847355680
Lemming and Booted eagles,WV2 4PL,52.570482654773200,-2.136124920474920
Parakeet and Mouse,DY4 9PD,52.532881000000000,-2.056639000000000
Bronzewing pigeon and Stilt,WV4 6DW,52.561127000000000,-2.108614000000000
Wader and Bunting,WV9 5YP,52.588468000000000,-2.114955000000000
Old World warbler and Condor,DY1 4LX,52.532621414419700,-2.095305754183050
Old World quail and Fox,WV10 0LJ,52.591991950269300,-2.113754034148030
Triller and Buzzard,WV5 0ED,52.531549669663000,-2.192773211031300
Armadillo and Flameback,WV6 0LA,52.596460404296400,-2.159900389779650
Rabbit and Rat,WV7 3RN,52.650127411689400,-2.288885082644190
Parrotlet and Linsang,WV9 5NW,52.624219234500400,-2.147267837240430
Rabbit and Quetzal,WS12 4WL,52.719158000000000,-2.023241000000000
Meadowlark and Argus,WV12 5SZ,52.607346045918100,-2.049307398318610
Jerboa and Bronzewing pigeon,WV13 2SH,52.584166286613700,-2.035776776416140
Bunting and Old World warbler,WS6 6BN,52.663343385937100,-2.015379000000000
Jerboa and Parrotlet,WS11 1HY,52.694153912604400,-2.040557630219320
Black cockatoo and Mink,WV2 3AS,52.572856294995200,-2.127780846110190
Argus and Diving bird,WS10 9RR,52.568491717096500,-2.020508581514500
Goose and Goose,WV8 2HW,52.615778000000000,-2.202670000000000
Pheasant and Armadillo,WV11 2AJ,52.630257415142600,-2.057060340207160
